array,site,buffer_dist,AIRP-RUNWAY,BORROWPIT-DRY,BORROWPIT-WET,BORROWPITS,CAMP-INDUSTRIAL,CAMPGROUND,CANAL,CFO,CLEARING-UNKNOWN,CLEARING-WELLPAD-UNCONFIRMED,CONVENTIONAL-SEISMIC,COUNTRY-RESIDENCE,CROP,CULTIVATION_ABANDONED,DUGOUT,FACILITY-OTHER,FACILITY-UNKNOWN,GREENSPACE,GRVL-SAND-PIT,HARVEST-AREA-1940,HARVEST-AREA-1950,HARVEST-AREA-1960,HARVEST-AREA-1963,HARVEST-AREA-1970,HARVEST-AREA-1971,HARVEST-AREA-1972,HARVEST-AREA-1973,HARVEST-AREA-1975,HARVEST-AREA-1976,HARVEST-AREA-1977,HARVEST-AREA-1978,HARVEST-AREA-1979,HARVEST-AREA-1980,HARVEST-AREA-1984,HARVEST-AREA-1985,HARVEST-AREA-1986,HARVEST-AREA-1987,HARVEST-AREA-1988,HARVEST-AREA-1989,HARVEST-AREA-1990,HARVEST-AREA-1991,HARVEST-AREA-1992,HARVEST-AREA-1993,HARVEST-AREA-1994,HARVEST-AREA-1995,HARVEST-AREA-1996,HARVEST-AREA-1997,HARVEST-AREA-1998,HARVEST-AREA-1999,HARVEST-AREA-2000,HARVEST-AREA-2001,HARVEST-AREA-2002,HARVEST-AREA-2003,HARVEST-AREA-2004,HARVEST-AREA-2005,HARVEST-AREA-2006,HARVEST-AREA-2007,HARVEST-AREA-2008,HARVEST-AREA-2009,HARVEST-AREA-2010,HARVEST-AREA-2011,HARVEST-AREA-2012,HARVEST-AREA-2013,HARVEST-AREA-2014,HARVEST-AREA-2015,HARVEST-AREA-2016,HARVEST-AREA-2017,HARVEST-AREA-2018,HARVEST-AREA-2019,HARVEST-AREA-2020,HARVEST-AREA-2021,HARVEST-AREA-WHITE-ZONE,LAGOON,LOW-IMPACT-SEISMIC,MINES-OILSANDS,MISC-OIL-GAS-FACILITY,OIL-GAS-PLANT,OPEN-PIT-MINE,PIPELINE,RESERVOIR,RESIDENCE_CLEARING,RIS-BORROWPITS,RIS-CAMP-INDUSTRIAL,RIS-CLEARING-UNKNOWN,RIS-DRAINAGE,RIS-FACILITY-OPERATIONS,RIS-FACILITY-UNKNOWN,RIS-MINES-OILSANDS,RIS-OILSANDS-RMS,RIS-OVERBURDEN-DUMP,RIS-RECLAIMED-PERMANENT,RIS-RECLAIMED-TEMP,RIS-ROAD,RIS-SOIL-REPLACED,RIS-SOIL-SALVAGED,RIS-TAILING-POND,RIS-TRANSMISSION-LINE,RIS-UTILITIES,RIS-WINDROW,RLWY-SGL-TRACK,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-DIV,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,ROAD-WINTER,ROUGH_PASTURE,RUNWAY,RURAL-RESIDENCE,SUMP,SURROUNDING-VEG,TAILING-POND,TAME_PASTURE,TRAIL,TRANSMISSION-LINE,TRUCK-TRAIL,URBAN-INDUSTRIAL,URBAN-RESIDENCE,VEGETATED-EDGE-RAILWAYS,VEGETATED-EDGE-ROADS,WELL-ABAND,WELL-BITUMEN,WELL-CASED,WELL-GAS,WELL-OIL,WELL-OTHER,WELL-UNKNOWN,WELL_CLEARED_NOT_CONFIRMED,WELL_CLEARED_NOT_DRILLED
LU1,LU1_10,2250,0,0,0,0,0,0,0,0,0.0071438989507044155,0,0.006325844021820757,0,0,0,0,0,0,0,0.004270178931698652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003990660102160864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017890656877924425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007328909694826088,0,0,0,0,0,4.7698805091106797e-4,0,0.005052426392665055,0,0,6.284445001434515e-4,0,0,0.023754688663717383,0.002143540287087953,0,1.2847546139303903e-4,0,0,0,0.011532344697198342,0.015111232380901896,0.004781546630789281,9.547785303299348e-4,0,0,0.005549192162440589,0,0,0
LU1,LU1_10,2500,0,6.647756739634922e-4,0,0,0,0,0,0,0.005786558150070695,0,0.006799321669890335,0,0,0,0,0,0,0,0.0034588449346759785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016067335721103443,0,0,0,0,0,0,0,0,0,0,0.0032324346827503664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017580101086450976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068834395926225915,0,0,0,0,0,8.271091165975643e-4,0,0.005179037306063548,0,0,5.090400451162061e-4,0,0,0.02551193538323263,0.0022984792210466185,0,2.8282920817435613e-4,0,0,0,0.01120285640931854,0.014352408764897556,0.007183036097875045,7.73370609567263e-4,0,0,0.006199409360376695,0,0,0
LU1,LU1_10,2750,0,0.0016493900874238092,0,0,0,0,0,0,0.004782279462868823,5.860159740823648e-5,0.006867218927388804,0,0,0,0,0,0,0,0.0028585495327903515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493520918630558,0,0,0,0,0,0,0,0,0,0,0.0026714336221080087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6858778067972527e-4,0,0,0,0,0,0,0.016877533034841262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006809276989359871,0,0,0,0,0,0.0015404874279900985,0,0.005081137712469644,0,0,4.20694252162196e-4,0,0,0.027185267120265703,0.0021845013227051262,0,2.8917511266517344e-4,0,0,0,0.01130723669300886,0.012980551251650502,0.010996927844364077,6.391492641052402e-4,0,0,0.006379788129999016,0,0,0
LU1,LU1_10,3000,0,0.0013859458373491063,0,0,0,0,0,0,0.004018443159771526,2.827998408616212e-4,0.0066604808596594615,0,0,0,0,0,0,0,0.0024019756490806657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070997927397425335,0,0,0,0,0,0,0,0,0,0,0.002244746307465649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035600606230500984,0,0,0,0,0,0,0.01819386706364124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006335240006815762,0,0,0,0,0,0.0016479422023299327,0,0.004857903833283752,0,0,3.5350003133071713e-4,0,0,0.026239535110513284,0.0019819262221577273,0.0032540100863252676,2.4298742105891875e-4,0,0,0,0.010579397127554742,0.012401074557928932,0.01257573805658387,6.003349791745281e-4,1.4888170923479433e-4,0,0.005838084859036442,0,0,0
LU1,LU1_10,3250,0,0.0011809242637767726,0,0,0,0,0,0,0.0034239989053675094,2.409655448761782e-4,0.00688361935870029,0,0,0,0,0,0,0,0.0020466538075007193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006049527541555868,0,0,0,0,0,0,0,0,0,0,0.001912683244231117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008455681261068595,0,0,0,2.9559992124642557e-4,0,0,0.018507830517201358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005829772463731588,7.676364694961956e-5,0,0,0,0,0.001679093655768301,0,0.005554929764255093,0,0,3.0120712728771656e-4,0,0,0.024972762510982346,0.0019566220177953397,0.0057214815427663246,2.0704253628689274e-4,0,0,0,0.009892369506579256,0.010991062079420197,0.01276925618446498,5.901613875294986e-4,4.713818314793136e-4,0,0.0049848439870638465,0,0,0
LU1,LU1_10,3500,0,0.0010182459213177372,0,0,0,0,0,0,0.0029523255867709933,2.0777131165344138e-4,0.007317839435171477,0,0,0,0,0,0,0,0.0017647168034062495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005216174257770161,0,0,0,0,0,0,0,0,0,0,0.0016492013687503158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016487745470505268,1.4436374199307104e-4,0,0,0.0028107722527101553,0,0,0.017960621293088716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053307351815241105,2.0279045880744424e-4,0,0,0,0,0.0017265985512798236,0,0.005949070920773721,0,0,3.99040145482941e-4,0,0,0.022923932508413992,0.0020110154092922335,0.0066790253737143285,2.0249306162800892e-4,0,0,0,0.009407417221626217,0.010118262744091314,0.01175866486351619,5.088636453698277e-4,6.134313823401322e-4,0,0.004848482952380103,0,0,0
LU1,LU1_10,3750,0,8.870053359034243e-4,0,0,0,0,0,0,0.002571803622253765,1.8099189815143677e-4,0.007873703953475798,0,0,0,0,0,0,0,0.0015372644154116194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004543867353435202,0,0,0,0,0,0,0,0,0,0,0.0014366376367780092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02235088317816167,6.581901866292392e-4,0,0,0.0041492974140887075,0,0,0.017012029337123872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506089525030356,2.563445106658108e-4,0,0,0,0,0.0017067573266960996,0,0.00937405895292407,0,0,7.322131076918549e-4,0,0,0.02014425763732775,0.0020002116500733164,0.007092505344547895,1.7982455374856434e-4,0,0,0,0.00912751526808949,0.010504758779393728,0.012668941530050831,4.432767755221476e-4,5.343668930607212e-4,0,0.004918949538211094,2.6080633532214707e-5,0,0
LU1,LU1_10,4000,0,0.0011746131973863927,0,0,0,0,0,0,0.0022603742773714118,1.590749104846569e-4,0.008073110581156142,0,0,0,0,0,0,0,0.0013511113026078321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399363341610505,0,0,0,0,0,0,0,0,0,0,0.0012626697979493879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02325069812420357,5.78487468717089e-4,0,0,0.0036468434303513044,0,0,0.016363886331561262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004793213587747876,2.986620861552479e-4,0,0,0,0,0.0017365380935644942,0,0.010502329835928931,0,2.1313362908149925e-4,6.524815142291657e-4,0,0,0.017704913939057113,0.001970150604982356,0.007239302230614704,1.5804892419306985e-4,0,0,0,0.008825437394215875,0.010768380101653504,0.01187713206557588,4.354436645202941e-4,4.6965840210413674e-4,0,0.005474187549527875,2.292243181542246e-5,0,0
LU1,LU1_10,4250,0,0.001284528853205961,0,7.25826118420599e-5,0,0,0,0,0.002002269256080011,1.4091064734974082e-4,0.007970451369766885,0,0,0,0,0,0,0,0.003864623261540969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035376129914289492,0,0,0,0,0,0,0,0,0,0,0.0011184895096023066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02369617585953107,5.124318061992577e-4,0,0,0.003230421862179935,0,0,0.01577120541141766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048587727071778735,3.279468000915371e-4,0,0,0,0,0.0018837271599268365,0,0.010656726244620048,0,1.8879657108950774e-4,6.445887495897972e-4,0,0,0.015683245565394282,0.0019230547869311513,0.007241874111026443,1.4000181520217576e-4,0,0,0,0.008749687101064467,0.010680228105410658,0.01099584971010578,5.63170127433575e-4,4.160295880230715e-4,0,0.0053816406440481725,2.0304991504320318e-5,0,0
LU1,LU1_10,4500,0,0.0011457680202978109,0,6.474189759985648e-5,0,0,0,0,0.002484592462227757,1.2568881816071476e-4,0.008127400204628375,0,0,1.9563292300089812e-4,0,0,0,0,0.0061459727810321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003155463439885426,0,0,0,0,0,0,7.145653479191636e-5,0,0,0,9.976650255402429e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02306299286865368,4.570765184925083e-4,0,0,0.0028814565375614833,0,0,0.015224148668888526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004596767063048225,3.488563010048506e-4,0,0,0,0,0.0018870767735539662,0,0.011785456263498256,0,1.6840187976809577e-4,5.749572488624547e-4,0,0,0.015010791529610365,0.0019082474531788127,0.0071657333515122434,1.2487816232538673e-4,0,0,0,0.00830070484072953,0.011822524723969533,0.00980802643895153,7.581455285337242e-4,3.71088120181041e-4,0,0.004852795599774855,1.811155106403724e-5,0,0
