array,site,buffer_dist,AGE_0_10,AGE_10_20,AGE_20_30,AGE_30_40,AGE_40_50,AGE_50_60,AGE_60_70,AGE_70_80,AGE_80_90,AGE_90_100,AGE_100_110,AGE_110_120,AGE_120_130,AGE_130_140,AGE_140_150,AGE_GT_150,LC_WATER,LC_SNOW_ICE,LC_ROCK_RUBBLE,LC_EXPOSED_BARREN,LC_BRYOIDS,LC_SHRUBS,LC_WETLAND,LC_WETLAND_TREED,LC_HERBS,LC_CONIFEROUS,LC_BROADLEAF,LC_MIXEDWOOD,PINU.BAN_PCT_OF_TREED,POPU.TRE_PCT_OF_TREED,PICE.MAR_PCT_OF_TREED,LARI.LAR_PCT_OF_TREED,PICE.GLA_PCT_OF_TREED,BETU.PAP_PCT_OF_TREED,FIRE_PCT_1985,FIRE_PCT_1986,FIRE_PCT_1987,FIRE_PCT_1988,FIRE_PCT_1989,FIRE_PCT_1990,FIRE_PCT_1991,FIRE_PCT_1992,FIRE_PCT_1993,FIRE_PCT_1994,FIRE_PCT_1995,FIRE_PCT_1996,FIRE_PCT_1997,FIRE_PCT_1998,FIRE_PCT_1999,FIRE_PCT_2000,FIRE_PCT_2001,FIRE_PCT_2002,FIRE_PCT_2003,FIRE_PCT_2004,FIRE_PCT_2005,FIRE_PCT_2006,FIRE_PCT_2007,FIRE_PCT_2008,FIRE_PCT_2009,FIRE_PCT_2010,FIRE_PCT_2011,FIRE_PCT_2012,FIRE_PCT_2013,FIRE_PCT_2014,FIRE_PCT_2015,FIRE_PCT_2016,FIRE_PCT_2017,FIRE_PCT_2018,FIRE_PCT_2019,FIRE_PCT_2020,HARVEST_PCT_1985,HARVEST_PCT_1986,HARVEST_PCT_1987,HARVEST_PCT_1988,HARVEST_PCT_1989,HARVEST_PCT_1990,HARVEST_PCT_1991,HARVEST_PCT_1992,HARVEST_PCT_1993,HARVEST_PCT_1994,HARVEST_PCT_1995,HARVEST_PCT_1996,HARVEST_PCT_1997,HARVEST_PCT_1998,HARVEST_PCT_1999,HARVEST_PCT_2000,HARVEST_PCT_2001,HARVEST_PCT_2002,HARVEST_PCT_2003,HARVEST_PCT_2004,HARVEST_PCT_2005,HARVEST_PCT_2006,HARVEST_PCT_2007,HARVEST_PCT_2008,HARVEST_PCT_2009,HARVEST_PCT_2010,HARVEST_PCT_2011,HARVEST_PCT_2012,HARVEST_PCT_2013,HARVEST_PCT_2014,HARVEST_PCT_2015,HARVEST_PCT_2016,HARVEST_PCT_2017,HARVEST_PCT_2018,HARVEST_PCT_2019,HARVEST_PCT_2020
LU3,LU3_14,50,0,0.9819731693050328,0,0,6.140526270791752e-4,0.009166928504253399,0.0015789924696321645,0.0022369059986455664,0.0022369059986455664,3.070263135395876e-4,0.0015789924696321645,0,3.070263135395876e-4,0,0,0,0,0,0,0,0,0.010633428547001236,0.2960987146154833,0.11718070631565441,0.3627904635023524,0.17782692375586923,0.032557485067507844,0.002856139098065773,0,0.4661768285114532,0.5246562429842934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_14,100,0,0.990200219993618,0,0,3.338124576383187e-4,0.004983343117600614,8.583748910699621e-4,0.0012160310956824466,0.0012160310956824466,1.6690622881915934e-4,8.583748910699621e-4,0,1.6690622881915934e-4,0,0,0,0,0,0,0,0,0.009112124770036588,0.3166363156045061,0.08907662075172854,0.43106897907112107,0.11205055255710822,0.03910309473944785,0.0028761562530258346,0,0.556093888592048,0.4389227682903513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_14,250,0,0.8548374368272684,0.0021385129671596757,0,0.011273341680242303,0.040596674066789844,0.01645563379715753,0.010633410597112694,0.023478196816526898,0.006712850276084206,0.014316317052183912,0.0021385129671596757,0.002421978436998422,0.004277025934319351,0.0021385129671596757,0.008567897773405135,0,0,0,0.0579460051613469,0,0.010199814794972464,0.28193838767629276,0.11564309078758025,0.3219604820807503,0.17286808092684833,0.03348234078119426,0.005916576986816832,2.2736967314539947e-4,0.46529601453056807,0.5260104075780622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8629158354384823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006059120073619081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_14,500,2.2311632523835664e-5,0.8571473608868567,0.00207239298631086,0,0.010982789811317843,0.038861061092112334,0.018014819621838134,0.010604878714257917,0.022798413828227174,0.006688712211195281,0.013612872188979044,0.0020881224637828576,0.0023115240985911024,0.0041443711668173785,0.002078560335558357,0.008575744672693729,0,0,0,0.05668383991314635,0,0.008230865709151734,0.26345479377987985,0.13716737987069122,0.2376339876072345,0.2627865758562346,0.027921819309623914,0.006105933293933267,0.004546315218123997,0.4118347173780889,0.5733818570526389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8656469661758567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005853130688567228,2.126373720554619e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_14,750,5.9122473626973836e-5,0.8470914387687278,0.00203169444794349,0,0.009030958577006046,0.04517591106523987,0.02919740038134274,0.013297400991802997,0.017887374531834508,0.006655096628285432,0.012681045255949534,0.0019610560306971368,0.0023796489053956545,0.003181098066562228,0.001667482267775435,0.007720211138033597,0,0,0,0.04191517931468278,0,0.00799927554414582,0.2500544745692663,0.16760476375374936,0.21224887395590086,0.28940826566096295,0.025185678536431902,0.005582243572682944,0.004156123335778725,0.37171422131222026,0.6121470911023145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859668334951831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004204624524992615,9.990436633838915e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_14,1000,8.021731354979708e-5,0.8143149351685861,0.008068621939684098,0,0.010059062160810806,0.05517794675291932,0.03977624489301477,0.019908134278107194,0.015056703803219808,0.007606762352974892,0.011721921081258675,0.002580391855723974,0.002892414489417356,0.0026577795157401987,0.0018352276157707853,0.00827158245858822,1.521380621424645e-4,0,0,0.03142571750341449,0,0.007659002900632644,0.23568596098849875,0.19769606098469913,0.2044156542577993,0.28914028179961027,0.02823824317195359,0.005593169205559236,0.0041464123587816055,0.3583185721233569,0.6248706327255538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8305289889998875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005419937801016679,0.005103296510230115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_14,1250,9.724709241360895e-5,0.768004990938946,0.010217662814070981,0,0.015491083433026485,0.06760841117843132,0.04544740922496064,0.02095008575637998,0.017235843139694944,0.00824180291686855,0.012675697675513931,0.004882772292876246,0.0037697661595688966,0.002578825213130495,0.002408904926256418,0.010914661355354245,0.010188024584524474,0,0,0.02746219632310497,0,0.007162101518843388,0.22492307459222727,0.20668483091137332,0.21384913301397726,0.2616691206080907,0.04114450550416313,0.006921783751095687,0.003956192426094589,0.36909090278485235,0.6037348537788307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7902478457285667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037844903895814723,0.006531769559653418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_14,1500,0.00334751006575507,0.7487197852024297,0.007158827625316745,0,0.017915382262237062,0.06926866697224884,0.04969440919355987,0.02145361822196601,0.017511690465525146,0.008648246749313424,0.01322996824778628,0.0063109033208758915,0.005115127270287668,0.002810314895818174,0.0030302739802818245,0.012679509152308562,0.0150104237211653,0,0,0.02197303198477508,0,0.007688577355872222,0.21704211769210008,0.20488132127067687,0.2122365829878885,0.2623335048622305,0.0503368874318075,0.008501085446044644,0.008151191123078154,0.36952644995626177,0.5957650379063243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7789067075103597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028072655979210063,0.0045506183078561765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001310261049094385,0,0,0,0,0,0,0
LU3,LU3_14,1750,0.004958226299579115,0.7597101664026319,0.005300859944664777,0,0.017537609607373047,0.06635389656845189,0.04579545472856333,0.020706748432745788,0.017611065246447184,0.009382582190113677,0.012528905815220768,0.006537431580267609,0.004879380302656388,0.002934220159951741,0.0031897143846916567,0.012661676131979218,0.011117452087604911,0,0,0.018492220038198743,0,0.00806520877280533,0.21291332260885837,0.19913960359450997,0.21774491871707333,0.27133796234432866,0.05313389391462253,0.008058724748398896,0.012563319740858713,0.3672195140246815,0.5978833944994317,5.709254974220187e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7955464026347809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002179534681505906,0.0033561206597114775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014568797729813943,6.519969180559453e-6,0,0,0,0,0,0
LU3,LU3_14,2000,0.011249998770039795,0.7409978490588024,0.004075088678324633,0,0.02113778647439344,0.07057000177098106,0.04594749567949035,0.0210593170774918,0.018250965041813626,0.010502191852279645,0.013290362334986075,0.007118214489937446,0.00513352110707113,0.0031004319307561994,0.0035438915750670478,0.014143260556917264,0.009558970890107732,0,0,0.01872142697869204,0,0.007831769620563393,0.20582726533945536,0.20206282286729546,0.2228322567896051,0.2767886409099406,0.04863718462371286,0.007740297709225736,0.01626757814084538,0.35898009365553113,0.5989819766427703,0.003755197310041069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7828667225540101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5032352950381313e-6,0,0.001715789959569209,0.0025819681547158903,0,0,0,0,0,0,0,0,0,0,0,3.671951034495194e-5,0,0,0,0,0.0011182786002854367,7.756528932052149e-4,0,0,0,0,0,0
