"Site","BUFF_DIST","20","32","33","34","50","110","120","210","220","230"
"LU13_18","250","0.0360720965739223","0","0","0","0.315516926231705","0.192816600303616","0","0.455594376890787","0","0"
"LU13_15","250","0","0","0.101238542896823","0.0915991974144322","0","0.348233239508379","0","0.3583255194783","0","0.100603366813009"
"LU13_03","250","0","0","0","0","0.55876144989519","0","0","0.18597654395658","0","0.255262006145839"
"LU13_34","250","0","0","0","0","0","0","0","0.999999999999955","0","0"
"LU13_57","250","0","0","0","0","0","0.178421403398621","0","0.82157859660159","0","0"
"LU13_16","250","0.180810672809666","0","0","0","0","0","0","0.688877392721024","0.130311934469804","0"
"LU13_21","250","0.0710351645389122","0","0.0230456597317645","0.195040737945","0.322081901245771","0.106014738993622","0","0.282781800203945","0","0"
"LU13_37","250","0","0","0","0","0","0","0","1.00000000000002","0","0"
"LU13_55","250","0","0","0","0","0.608256745643221","0","0","0.391743254356936","0","0"
"LU13_47","250","0","0","0","0","0","0","0","1.00000000000005","0","0"
"LU13_51","250","0","0","0","0","0","0.108578721249697","0","0.891421278750186","0","0"
"LU13_27","250","0","0","0","0","0","0.139573140464287","0","0.860426859535906","0","0"
"LU13_05","250","0","0","0","0","0","0.158272114983098","0","0.841727885016784","0","0"
"LU13_26","250","0","0","0","0","0","0.203108251710463","0","0.796891748288988","0","0"
"LU13_35","250","0","0","0","0","0.339022238314157","0","0","0.660977761685743","0","0"
"LU13_13","250","0","0","0","0","0","0","0","0.833361124365188","0.166638875635722","0"
"LU13_128","250","0","0","0","0","0.241483227788574","0","0","0.758516772215382","0","0"
"LU13_131","250","0","0","0","0","0.324734493781443","0.0102704186953213","0","0.664995087523557","0","0"
"LU13_12","250","0","0","0","0","0","0.0586590257317647","0","0.941340974268236","0","0"
"LU13_33","250","0","0","0","0","0","0.530401226514443","0","0.469598773485553","0","0"
"LU13_32","250","0","0","0","0","0.1137141712613","0.342065350513142","0","0.544220478230085","0","0"
"LU13_30","250","0","0","0","0","0","0.102437441709358","0","0.897562558290216","0","0"
"LU13_53","250","0","0","0","0","0","0","0","1.00000000000011","0","0"
"LU13_22","250","0","0","0","0","0","0","0","0.292503871391298","0.576704013443675","0.130792115164849"
"LU13_19","250","0","0","0","0","0","0.147369760528029","0","0.852630239472082","0","0"
