"Site","BUFF_DIST","FEATURE_TYPIPELINE","FEATURE_TYHARVEST.AREA","FEATURE_TYMISC.OIL.GAS.FACILITY","FEATURE_TYTRANSMISSION.LINE","FEATURE_TYCONVENTIONAL.SEISMIC","FEATURE_TYLOW.IMPACT.SEISMIC","FEATURE_TYWELL.ABAND","FEATURE_TYWELL.GAS","FEATURE_TYWELL.OTHER","FEATURE_TYWELL.BITUMEN","FEATURE_TYCLEARING.UNKNOWN","FEATURE_TYOPEN.PIT.MINE","FEATURE_TYVEGETATED.EDGE.ROADS","FEATURE_TYROAD.PAVED.UNDIV.2L","FEATURE_TYROAD.GRAVEL.1L","FEATURE_TYROAD.UNIMPROVED","FEATURE_TYHARVEST.AREA.WHITE.ZONE","FEATURE_TYTRAIL","FEATURE_TYCROP","FEATURE_TYROUGH_PASTURE","FEATURE_TYTAME_PASTURE","FEATURE_TYRURAL.RESIDENCE","FEATURE_TYURBAN.RESIDENCE","FEATURE_TYGREENSPACE","FEATURE_TYRECREATION","FEATURE_TYRUNWAY","FEATURE_TYWELL.CASED","FEATURE_TYFACILITY.UNKNOWN","FEATURE_TYURBAN.INDUSTRIAL","FEATURE_TYCLEARING.WELLPAD.UNCONFIRMED","FEATURE_TYGRVL.SAND.PIT","FEATURE_TYVEGETATED.EDGE.RAILWAYS","FEATURE_TYROAD.UNCLASSIFIED","FEATURE_TYBORROWPIT.WET","FEATURE_TYBORROWPIT.DRY","FEATURE_TYBORROWPITS","FEATURE_TYRESIDENCE_CLEARING","FEATURE_TYCAMPGROUND","FEATURE_TYWELL_CLEARED_NOT_CONFIRMED","FEATURE_TYCAMP.INDUSTRIAL","FEATURE_TYOIL.GAS.PLANT","FEATURE_TYTRUCK.TRAIL","FEATURE_TYROAD.GRAVEL.2L","FEATURE_TYROAD.PAVED.UNDIV.1L","FEATURE_TYSUMP","FEATURE_TYDUGOUT","FEATURE_TYCOUNTRY.RESIDENCE","FEATURE_TYMILL","FEATURE_TYROAD.PAVED.2L","FEATURE_TYFACILITY.OTHER","FEATURE_TYSURROUNDING.VEG","FEATURE_TYRLWY.SGL.TRACK","FEATURE_TYWELL_CLEARED_NOT_DRILLED","FEATURE_TYWELL.UNKNOWN","FEATURE_TYCULTIVATION_ABANDONED","FEATURE_TYGOLFCOURSE","FEATURE_TYAIRP.RUNWAY","FEATURE_TYLAGOON","FEATURE_TYRESERVOIR","FEATURE_TYTRANSFER_STATION","FEATURE_TYLANDFILL","FEATURE_TYMINES.PITLAKE","FEATURE_TYRLWY.SPUR","FEATURE_TYROAD.PAVED.1L","FEATURE_TYCANAL","Gridcll","Lab"
"3-2C1-CA43B",2750,0.012194384680443,0,0,0.000689865098193295,0.00544000638083406,0.0213120623045737,0.00692925335651584,0.000809206744866803,0.0011543935947125,0,0.00392352338730383,0,0.0060994474257185,0,0,0.0017630951202523,0,0.00126532741989114,0,0,0,0,0,0,0,0,0,0,0,0.000236404467275896,0,0,0,0,0.000435310353190002,0.000271923983962727,0,0,0,0.0217183091202991,0,0,0.00356562794866438,0,0.00688012454246939,0,0,0,0,0,0,0,0,0.00020985379807664,0,0,0,0,0,0,0,0,0,0,0,"LU3-43","ABMI"
"3-2B1-CA38B",2750,0.0147668675606438,0.0221285991441792,0.00355743551433941,0.00581001371556236,0.00458815559066665,0.0233635152971096,0.0193272223853644,0.00281113093030651,0.00110310507794895,0,0.0028133747415414,0,0.00991798542182156,0,0.00180362754467597,0.00320006464010479,0,0.00274402543873425,0,0,0,0,0,0,0,0,0.000769255462609263,0,0,0.00110028443834508,0,0,0,0.00123602535508467,0.000894316023453943,0.000194529588280095,0,0,0.00225719419756238,0.000932593351118353,0,0.000250948660963991,0.00303449630473587,0,0.00377322325522573,0,0,0,0,0.00270339917209458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU3-38","ABMI"
"3-0-CA33B",2750,0.00739698714469429,0.101073410986792,0,0.00639308094804223,0.00777481433812307,0.0144546070188247,0.00623856154752852,0.0015618834124458,0.000938085674394065,0,0.00068728771504082,0,0.00409328724831239,0,0.0033743315297448,0.000154431846639565,0,0.00115998195410093,0,0,0,0,0,0,0,0,0,0.000289722878412979,0,0,0,0.00345045324120338,0,0.000208659749802513,0.00224448369973834,0,0,0,0,0.0213427600589203,0,0,0,0,0.00678825346817361,0,0,0,0,0,0,0.00171898433719352,0,0,0,0,0,0,0,0,0,0,0.00017961471874843,0,0,"LU3-33","ABMI"
"3-0-CA34B",2750,0.00769541376384253,0.0846395720844409,0,0,0.00646355902189651,0.0107679264321223,0.00276804199496293,0.0019630487689733,0.000226333936325796,0,0.00150452565546605,0,0.00475932358164197,0,0.00280664856053768,0,0,0.000565873091970315,0,0,0,0,0,0,0,0,0.000340892376670345,0,0,0,0,0,0,0.000208659749802507,0,0,0,0,0,0.0213427600589197,0,3.78008428968932e-05,0,0,0.00678825346817343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU3-34","ABMI"
"3-0-CA35B",2750,0.0144331879153511,0.0776460030802528,0.000522600501790087,0,0.0063829751113105,0.0109168849888724,0.00541525653448523,0.00217819528926114,0.000478868681281599,0,0.0113879893688927,0,0.00616133775893609,0,0.0023948890222753,0.000686827898754502,0,0.000681798416116747,0,0,0,0,0,0,0,0,0.000747659167689698,0,0,0,0.000110076824819595,0,0,0,0,0,0,0,0,0.02134276005892,0,4.48256708347058e-05,0,0,0.00678825346817352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU3-35","ABMI"
"3-0-CA4B",2750,0.0460230063866004,0.0518097925762853,0.0104386110695391,0.0130217475138959,0.00929442234704125,0.0274470631174109,0.0177757901205576,0.00108557639018327,0.00648019298421323,0.0107570011079178,0.00832046795863034,0,0.00854742813900317,0,0.00316746067313667,0.00398719793291384,0,0.000254506510816835,0,0,0,0,0,0,0,0,0.000424636955754111,0,0,0.00185795371247019,0,0,0,0,0.00178763351089107,0.000389126758534605,0,0,0.000261947126166488,0.005263900565622,0.0210684129350202,0,0,0,0.00559963810741757,0,0,0,0,0.0017516155514578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU3-4","ABMI"
"3-0-CA8B",2750,0.0160709186732051,0.00131846908234524,0.00823865927547705,0,0.0044158552268185,0.0280853336376394,0.00175830772864178,0.00134708206274107,0.000227119263678564,0,0,0.0017854162943384,0.00761487355647857,0.00428351664530548,0,0.00107458891088634,0,0.000936556534945477,0,0,0,0,0,0,0,0,0.000331388507621252,0,0,0.00135601268650656,0.00546279841508589,0,0,0,0.000700699918821634,0.000945663082647974,0,0,0,0,0,3.29739388569729e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU3-8","ABMI"
"3-2F2-CA4B",2750,0.0400095303673384,0,0.0971954334324141,0.00967453411190255,0.00502381390072163,0.00749488567333272,0.0225042784833693,0.000425691301702886,0.00893820193068848,0.0245611034591027,0.0331054241436652,0.00543690267281857,0.017708511775981,0,0.00286842497151173,0.01150360100304,0,0.000547994835316885,0,0,0,0,0,0,0,0,0.00732720883815926,0,0,0.000287456266466597,0.00647800634543556,0,0,0.00183924607700968,0,0,0,0,0,0.00463750891132814,0.0017695192048198,0.00198284279766842,0.00459346559384728,0,0.00953830397166638,0,0,0,0,0.00130962245963763,0,0,0.000249205186341662,0,0,0,0,0,0,0,0,0,0,0,0,"LU3-52","ABMI"
"LU2-03",3000,0,0.264939012024813,0,0,0.0079033538039813,0,0.000537939595298825,0,0,0,0,0,0.0054676373731302,0,0,0,0,0.0017161759051699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26072816908819e-05,0.00290107684419671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-03","ACME"
"LU2-05",3000,0,0.11989778965212,0,0,0.00345033919991733,0,0,0,0,0,0.000167541366076436,0,0.00452744240345205,0,0.00185366108007554,0.000920283318860801,0,0.00136662304113676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493723581069672,0,0,0,1.66457058851415e-05,0.000945667694527193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-05","ACME"
"LU2-100",3000,0.00743741311363847,0.217569899412111,0,0,0.00864518423508555,0,0.00571041683727386,0.000262931333646288,0.000594937171391662,0,0.00847266310821493,0,0.0184829287241936,0.00392274493607868,0.00217308244643422,0.00465865036930103,0,0.0012996442086196,0,0,0,0.000913467071247848,0,0,0,0,0,0,0,0,0,0.00318030181298366,0.000156028203816351,0,0,0.00232875804612538,0,0,0,0,0,0.000133122149580935,0,0,0.000545639132272346,0,0.000623588824404236,0,0,0,0,0.00158432470366592,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-100","ACME"
"LU2-101",3000,0,0.0955202043591608,0,0,0.0025125369453913,0,0,0,0,0,0.00016754136607644,0,0.00443785490945404,0,0.0015969422134499,0.0007331908516968,0,0.00135808136211287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493723581069684,0,0,0,1.66457058851419e-05,0.0011310629322496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LU2-101","ACME"
