"","array","site","buff_dist","red_squirrel","absent_red_squirrel","lc_grassland","lc_coniferous","lc_mixed","lc_broadleaf","lc_shrub"
"1","LU3","LU3_14",250,0,30,0,0,0,0,0.934150854742307
"2","LU3","LU3_14",500,0,30,0,0,0,0,0.898242511025155
"3","LU3","LU3_14",750,0,30,0,0.000724104791270031,0.0216676053559713,0,0.90398085184159
"4","LU3","LU3_14",1000,0,30,0,0.0120099534794985,0.054032076721349,0.0075575701846117,0.869833881950855
"5","LU3","LU3_14",1250,0,30,0,0.0133462404986142,0.0581843825175346,0.0227190839419364,0.8470054084671
"6","LU3","LU3_14",1500,0,30,0,0.0178947939560499,0.0479287150973492,0.0257272215485311,0.850506196487407
"7","LU3","LU3_14",1750,0,30,0,0.0168311170560762,0.0442400671461079,0.0189016321581071,0.873788992232745
"8","LU3","LU3_14",2000,0,30,3.88642602399432e-05,0.0206394315796336,0.0412765392538832,0.0144715621210497,0.882380664072131
"9","LU3","LU3_14",2250,0,30,0.00195092981909979,0.0244398823054073,0.0438803166363463,0.0114343206882363,0.880316390577442
"10","LU3","LU3_14",2500,0,30,0.00158025315347084,0.0416988380434582,0.0425930103577812,0.00948996156263901,0.870693712474502
"11","LU3","LU3_14",2750,0,30,0.00335446558594672,0.0630407007529347,0.0419137669815179,0.0119764281589864,0.847371364311892
"12","LU3","LU3_14",3000,0,30,0.00623285096833623,0.0836084796670844,0.0405489085518534,0.0169500479866074,0.817898105072152
"13","LU3","LU3_14",3250,0,30,0.0071746484471796,0.110145221721321,0.03674899402026,0.0222967831117772,0.786625391351986
"14","LU3","LU3_14",3500,0,30,0.0161971394758941,0.135751733714473,0.0371112667414556,0.0246719781417837,0.750508105141061
"15","LU3","LU3_14",3750,0,30,0.0231974728438206,0.160912282934119,0.0376130613005279,0.0285598067476285,0.7126875870141
"16","LU3","LU3_14",4000,0,30,0.0262429676957421,0.183986258578073,0.0357592025777436,0.0355026458744693,0.681210533430836
"17","LU3","LU3_14",4250,0,30,0.02830537729085,0.190897084982753,0.0376131022799986,0.0423204820001402,0.664971089524596
"18","LU3","LU3_14",4500,0,30,0.0314668430148407,0.194655846455424,0.0391855836199677,0.0413123313304159,0.658871040027847
"19","LU3","LU3_14",4750,0,30,0.0341744085605839,0.195033921350808,0.0365791660616048,0.0406909079959615,0.657399756217547
"20","LU3","LU3_14",5000,0,30,0.0358525632375875,0.196172784209778,0.0355232838391607,0.0405881461013652,0.654448560942262
"21","LU3","LU3_19",250,0,48,0.133541278644042,0.866458721357406,0,0,0
"22","LU3","LU3_19",500,0,48,0.0368771334408447,0.953104568064899,0,0,0.0100182984946349
"23","LU3","LU3_19",750,0,48,0.0401792533089906,0.883273145598266,0,0,0.0632998591350549
"24","LU3","LU3_19",1000,0,48,0.0606681134440019,0.76031021207423,0,0,0.171569819630432
"25","LU3","LU3_19",1250,0,48,0.0462309649956603,0.687915300421184,0,0,0.261084547478282
"26","LU3","LU3_19",1500,0,48,0.0517427086330481,0.642668796758917,0,0,0.302276559118564
"27","LU3","LU3_19",1750,0,48,0.0725239365368739,0.588422646427596,0,0,0.333885226606525
"28","LU3","LU3_19",2000,0,48,0.07876132432492,0.553252490430977,0.00366358276256812,0.00311371665987081,0.345326569712749
"29","LU3","LU3_19",2250,0,48,0.0862354710649615,0.525224689863905,0.0116256138767515,0.00751635490860366,0.346879783634895
"30","LU3","LU3_19",2500,0,48,0.0844991699510701,0.507477090327614,0.0130441148200218,0.0102941863259173,0.360788270632729
"31","LU3","LU3_19",2750,0,48,0.0776383560526603,0.482930364544055,0.0107958619621078,0.0170571129523059,0.385041646851228
"32","LU3","LU3_19",3000,0,48,0.0703636075523178,0.4660432328811,0.00988414579224948,0.0209620677532707,0.402833876326232
"33","LU3","LU3_19",3250,0,48,0.062657453453023,0.449093185415888,0.0140710109373174,0.0295294904550405,0.410097340912626
"34","LU3","LU3_19",3500,0,48,0.0586908666374734,0.42747759466246,0.0257524847610526,0.0367124150959269,0.414765192597527
"35","LU3","LU3_19",3750,0,48,0.0587919135936385,0.401781774822186,0.0421692251726249,0.0404881041633439,0.415302376703639
"36","LU3","LU3_19",4000,0,48,0.0560818143856894,0.376297803414244,0.057350841896188,0.0441228350554788,0.422539234287267
"37","LU3","LU3_19",4250,0,48,0.0503467713215323,0.365867192626847,0.0641834183783805,0.0467207374663335,0.43044420451064
"38","LU3","LU3_19",4500,0,48,0.0451933368656479,0.360907828655781,0.0669407736860333,0.0476652966127747,0.43898979088405
"39","LU3","LU3_19",4750,0,48,0.0417376622558159,0.356224833459744,0.0678959209244537,0.0464796561822231,0.448185859603073
"40","LU3","LU3_19",5000,0,48,0.0393042912118841,0.352354695112229,0.0717908725785042,0.0448921266556006,0.452021990020048
"41","LU3","LU3_20",250,0,30,0,0.999999999999953,0,0,0
