array,camera,site,date
WF,1,WF_1,2019-06-09
WF,1,WF_1,2019-06-10
WF,1,WF_1,2019-06-11
WF,1,WF_1,2019-06-12
WF,1,WF_1,2019-06-13
WF,1,WF_1,2019-06-14
WF,1,WF_1,2019-06-15
WF,1,WF_1,2019-06-16
WF,1,WF_1,2019-06-17
WF,1,WF_1,2019-06-18
WF,1,WF_1,2019-06-19
WF,1,WF_1,2019-06-20
WF,1,WF_1,2019-06-21
WF,1,WF_1,2019-06-22
WF,1,WF_1,2019-06-23
WF,1,WF_1,2019-06-24
WF,1,WF_1,2019-06-25
WF,1,WF_1,2019-06-26
WF,1,WF_1,2019-06-27
WF,1,WF_1,2019-06-28
WF,1,WF_1,2019-06-29
WF,1,WF_1,2019-06-30
WF,1,WF_1,2019-07-01
WF,1,WF_1,2019-07-02
WF,1,WF_1,2019-07-03
WF,1,WF_1,2019-07-04
WF,1,WF_1,2019-07-05
WF,1,WF_1,2019-07-06
WF,1,WF_1,2019-07-07
WF,1,WF_1,2019-07-08
WF,1,WF_1,2019-07-09
WF,1,WF_1,2019-07-10
WF,1,WF_1,2019-07-11
WF,1,WF_1,2019-07-12
WF,1,WF_1,2019-07-13
WF,1,WF_1,2019-07-14
WF,1,WF_1,2019-07-15
WF,1,WF_1,2019-07-16
WF,1,WF_1,2019-07-17
WF,1,WF_1,2019-07-18
WF,1,WF_1,2019-07-19
WF,1,WF_1,2019-07-20
WF,1,WF_1,2019-07-21
WF,1,WF_1,2019-07-22
WF,1,WF_1,2019-07-23
WF,1,WF_1,2019-07-24
WF,1,WF_1,2019-07-25
WF,1,WF_1,2019-07-26
WF,1,WF_1,2019-07-27
WF,1,WF_1,2019-07-28
WF,1,WF_1,2019-07-29
WF,1,WF_1,2019-07-30
WF,1,WF_1,2019-07-31
WF,1,WF_1,2019-08-01
WF,1,WF_1,2019-08-02
WF,1,WF_1,2019-08-03
WF,1,WF_1,2019-08-04
WF,1,WF_1,2019-08-05
WF,1,WF_1,2019-08-06
WF,1,WF_1,2019-08-07
WF,1,WF_1,2019-08-08
WF,1,WF_1,2019-08-09
WF,1,WF_1,2019-08-10
WF,1,WF_1,2019-08-11
WF,1,WF_1,2019-08-12
WF,1,WF_1,2019-08-13
WF,1,WF_1,2019-08-14
WF,1,WF_1,2019-08-15
WF,1,WF_1,2019-08-16
WF,1,WF_1,2019-08-17
WF,1,WF_1,2019-08-18
WF,1,WF_1,2019-08-19
WF,1,WF_1,2019-08-20
WF,1,WF_1,2019-08-21
WF,1,WF_1,2019-08-22
WF,1,WF_1,2019-08-23
WF,1,WF_1,2019-08-24
WF,1,WF_1,2019-08-25
WF,1,WF_1,2019-08-26
WF,1,WF_1,2019-08-27
WF,1,WF_1,2019-08-28
WF,1,WF_1,2019-08-29
WF,1,WF_1,2019-08-30
WF,1,WF_1,2019-08-31
WF,1,WF_1,2019-09-01
WF,1,WF_1,2019-09-02
WF,1,WF_1,2019-09-03
WF,1,WF_1,2019-09-04
WF,1,WF_1,2019-09-05
WF,1,WF_1,2019-09-06
WF,1,WF_1,2019-09-07
WF,1,WF_1,2019-09-08
WF,1,WF_1,2019-09-09
WF,1,WF_1,2019-09-10
WF,1,WF_1,2019-09-11
WF,1,WF_1,2019-09-12
WF,1,WF_1,2019-09-13
WF,1,WF_1,2019-09-14
WF,1,WF_1,2019-09-15
WF,1,WF_1,2019-09-16
WF,1,WF_1,2019-09-17
WF,1,WF_1,2019-09-18
WF,1,WF_1,2019-09-19
WF,1,WF_1,2019-09-20
WF,1,WF_1,2019-09-21
WF,1,WF_1,2019-09-22
WF,1,WF_1,2019-09-23
WF,1,WF_1,2019-09-24
WF,1,WF_1,2019-09-25
WF,1,WF_1,2019-09-26
WF,1,WF_1,2019-09-27
