"","array","site","buff_dist","red_squirrel","absent_red_squirrel","harvest","seismic","linear","wells","roads","osm_industrial"
"1","LU3","LU3_14",250,0,30,0,0.0413741280210759,0,0.0342692563803165,0.0203862674791789,0
"2","LU3","LU3_14",500,0,30,0,0.0334833677386461,0,0.0232038716241297,0.0238063583670404,0
"3","LU3","LU3_14",750,0,30,0,0.0324223197016617,0,0.0227060048868715,0.0174759318705083,0
"4","LU3","LU3_14",1000,0,30,0,0.0305432164240854,0,0.0199661328915958,0.0135918138808259,0.000232607741472316
"5","LU3","LU3_14",1250,0,30,0,0.0305021273640013,0,0.0131620788946524,0.0124334703936948,0.00739864160594515
"6","LU3","LU3_14",1500,0,30,0,0.0301251676873503,0,0.0123470235256091,0.0108922058265509,0.0159590928047737
"7","LU3","LU3_14",1750,0,30,0,0.0295682060008835,0.000132341043484895,0.0113859128767658,0.00953037036623632,0.0142804553001526
"8","LU3","LU3_14",2000,0,30,0,0.0294576622670075,0.00128204105004178,0.0111065253715287,0.00846440219857673,0.021149034105473
"9","LU3","LU3_14",2250,0,30,0,0.0299394898550881,0.00143067416515548,0.010368278906385,0.0076663253436486,0.0200340316530114
"10","LU3","LU3_14",2500,0,30,0.00210001176015755,0.0303027837567912,0.00144216356330693,0.0111078187498408,0.00669781606659294,0.0164278678151344
"11","LU3","LU3_14",2750,0,30,0.00626747154083496,0.0306568379572697,0.00140455769951156,0.011972659533474,0.00591533992352886,0.0136541117039427
"12","LU3","LU3_14",3000,0,30,0.0105940099128025,0.0299582108941451,0.00170754446060429,0.0130833351635838,0.00528918769648081,0.0131361258264215
"13","LU3","LU3_14",3250,0,30,0.0102571380431746,0.0290803381206611,0.00179378395620454,0.0145383052030277,0.00489693322811852,0.0154655392323983
"14","LU3","LU3_14",3500,0,30,0.0109858656885279,0.0282699859034195,0.00189874500213396,0.0167855931250614,0.00473456217881686,0.0167252832841681
"15","LU3","LU3_14",3750,0,30,0.0103086601359658,0.0277396672647121,0.00200427958749935,0.017220136445973,0.00481750721080531,0.0156787001165959
"16","LU3","LU3_14",4000,0,30,0.00906034582262632,0.027271496450849,0.00208267283585836,0.0187619357281097,0.00497451082294039,0.0143179374853017
"17","LU3","LU3_14",4250,0,30,0.00802577346225713,0.0267367994364688,0.00208630407249627,0.0190098797171128,0.00484892735680048,0.0141645894331995
"18","LU3","LU3_14",4500,0,30,0.00715879176108768,0.0260612120922491,0.00198990089438271,0.0187544848020878,0.00462485759501928,0.0139869875432539
"19","LU3","LU3_14",4750,0,30,0.0064250651816962,0.0258533979938281,0.00212979846226759,0.018907329306217,0.00444672441578194,0.0136183119358313
"20","LU3","LU3_14",5000,0,30,0.00579862132648091,0.0256738387228706,0.00204521989224184,0.0187299451671693,0.00421945493421439,0.0123480777453223
"21","LU3","LU3_19",250,0,48,0,0.012704523155814,0,0.169005786305336,0,0
