array,site,months_active,black_bear,caribou,cougar,coyote,fisher,grey_wolf,lynx,moose,red_fox,red_squirrel,snowshoe_hare,white_tailed_deer,wolverine,absent_black_bear,absent_caribou,absent_cougar,absent_coyote,absent_fisher,absent_grey_wolf,absent_lynx,absent_moose,absent_red_fox,absent_white_tailed_deer,absent_wolverine,absent_snowshoe_hare,absent_red_squirrel
CL,CL_55,13,3,0,0,2,1,3,2,0,0,1,7,9,0,6,13,13,11,12,10,11,13,13,4,13,6,12
CL,CL_56,11,2,0,0,0,0,0,0,1,0,0,1,9,0,5,11,11,11,11,11,11,10,11,2,11,10,11
CL,CL_57,13,2,0,0,0,1,1,0,2,0,0,0,6,0,7,13,13,13,12,12,13,11,13,7,13,13,13
CL,CL_58,13,1,0,0,3,1,2,2,0,0,0,4,7,0,8,13,13,10,12,11,11,13,13,6,13,9,13
CL,CL_59,13,0,0,0,5,0,2,2,0,0,0,1,13,0,9,13,13,8,13,11,11,13,13,0,13,12,13
CL,CL_6,13,2,0,0,1,0,1,2,0,0,1,2,8,0,7,13,13,12,13,12,11,13,13,5,13,11,12
CL,CL_60,13,4,0,0,1,4,5,3,0,6,1,1,13,0,5,13,13,12,9,8,10,13,7,0,13,12,12
CL,CL_61,13,1,0,0,2,0,2,4,0,0,0,0,13,0,8,13,13,11,13,11,9,13,13,0,13,13,13
CL,CL_62,13,6,4,0,2,2,1,5,1,0,5,11,6,0,3,9,13,11,11,12,8,12,13,7,13,2,8
CL,CL_63,11,2,0,0,1,2,1,1,3,0,0,5,7,0,5,11,11,10,9,10,10,8,11,4,11,6,11
CL,CL_7,13,1,0,0,2,0,1,4,1,0,2,11,3,0,8,13,13,11,13,12,9,12,13,10,13,2,11
CL,CL_8,13,2,0,0,2,2,1,5,2,0,1,2,9,0,7,13,13,11,11,12,8,11,13,4,13,11,12
CL,CL_9,13,0,1,0,5,1,5,2,1,4,2,5,13,0,9,12,13,8,12,8,11,12,9,0,13,8,11
LU3,LU3_14,7,2,0,0,1,0,0,1,1,0,0,1,3,0,3,7,7,6,7,7,6,6,7,4,7,6,7
LU3,LU3_19,11,3,5,0,1,0,0,2,1,0,0,1,8,0,4,6,11,10,11,11,9,10,11,3,11,10,11
LU3,LU3_20,7,1,1,0,2,0,0,2,0,0,0,4,4,0,4,6,7,5,7,7,5,7,7,3,7,3,7
LU3,LU3_21,7,2,2,0,4,0,0,3,1,0,0,6,5,0,3,5,7,3,7,7,4,6,7,2,7,1,7
LU3,LU3_25,7,3,3,0,4,1,0,2,0,0,2,7,4,0,2,4,7,3,6,7,5,7,7,3,7,0,5
LU3,LU3_32,7,3,0,0,0,0,0,1,0,0,0,0,7,0,2,7,7,7,7,7,6,7,7,0,7,7,7
LU3,LU3_45,7,4,0,0,2,1,0,1,0,0,0,3,5,0,1,7,7,5,6,7,6,7,7,2,7,4,7
LU3,LU3_48,11,3,0,0,5,0,0,5,0,0,2,11,2,0,4,11,11,6,11,11,6,11,11,9,11,0,9
