model_name,scale,df,logLik,AICc,delta,delta_subsetted,weight_subsetted,intercept,fire_0_15,lc_broadleaf,lc_coniferous,lc_mixedwood,lc_shrubs,lc_wetland,lc_wetland_treed,pipe_trans,seismic,wells_inactive,harvest_0_15,osm_industrial,wells_active,nonanthro_ed,landscape_shei,landscape_mesh,cfi_site,cfi_site:nonanthro_ed
m_landcover_fire_1000,1000,11,-4697.179528067249,9416.41286779369,10.702332285878583,1.4711129970473849,0.204536020419282,-1.5692187778938218,0.2725837621627625,-0.7938007019812174,-0.43298306585379426,0.027975151745294476,-0.28122465002089936,-0.14275042458353254,-0.4507918547059873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_1000,1000,10,-4698.306595630928,9416.658025172597,10.94748966478619,1.7162703759549913,0.18093998640967,-1.5740807480118513,NA,-0.8349160072901507,-0.42457552063293463,0.02912529550817814,-0.10178553687719315,-0.09710975743909006,-0.5050231055232461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_1750,1750,8,-4700.474500361148,9416.978334598849,11.267799091037887,0,0.494349794595477,-1.560163890138963,0.27673920633045485,-0.34387703236774403,-0.09814323921493762,0.18894324727478284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_750,750,7,-4701.512199666242,9417.047209923116,11.336674415304515,1.7608974229915475,0.144404874294253,-1.5777272187114952,NA,-0.4617471754992393,-0.05759359600567382,0.15998114406946784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_3250,3250,5,-4703.63803878916,9417.288292562034,11.577757054223184,0,0.714906665314589,-1.557587699191446,0.3289498671755406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_1000,1000,7,-4701.646760526725,9417.316331644082,11.605796136271238,2.3745768474400393,0.130192246035925,-1.5754659220934113,NA,-0.4734010430086758,-0.09678299685088074,0.1784082274907451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_3500,3500,5,-4703.656182599813,9417.32458018334,11.61404467552893,0,0.745018539456336,-1.5577826645717858,0.32871227294810007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_3750,3750,5,-4703.667753529844,9417.347722043402,11.637186535590445,0,0.757122805965508,-1.557921461800329,0.32879653533488923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_4000,4000,5,-4703.675911684265,9417.364038352243,11.653502844432296,0,0.761952720832607,-1.5580139200396048,0.3291326318770994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_4250,4250,5,-4703.677244859399,9417.366704702512,11.656169194700851,0,0.758842004800014,-1.558132133998185,0.32969790230987167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_3000,3000,5,-4703.688503488828,9417.38922196137,11.67868645355884,0,0.636093516448247,-1.5575817115697967,0.32663469032136255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_4500,4500,5,-4703.693621043915,9417.399457071544,11.688921563732947,0,0.762983226475915,-1.5582996265736313,0.32970685532144123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_4750,4750,5,-4703.72239087489,9417.456996733494,11.746461225682651,0,0.765011768886887,-1.558447143666859,0.3291877370715404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_fire_5000,5000,5,-4703.748626674001,9417.509468331715,11.79893282390367,0,0.763162786627822,-1.5586215915408075,0.3288435917772698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
