"","site","buff_dist","array","red_squirrel","absent_red_squirrel","harvest","seismic","roads","linear","wells","lc_grassland","lc_coniferous","lc_broadleaf","lc_mixed","lc_shrub","osm_industrial","natural_cohesion","anthropogenic_cohesion","natural_ed","anthropogenic_ed","natural_tca","anthropogenic_tca"
"1","LU3_14",250,"LU3",0,30,0,0.0413741280210759,0.0203862674791789,0,0.0342692563803165,0,0,0,0,0.934150854742307,0,97.0772705463763,98.5591795119178,260.587942202292,260.587942202292,6.335,0.575
"2","LU3_14",500,"LU3",0,30,0,0.0334833677386461,0.0238063583670404,0,0.0232038716241297,0,0,0,0,0.898242511025155,0,97.6315240497925,99.3185376984098,232.27553204886,232.27553204886,28.025,4.4975
"3","LU3_14",750,"LU3",0,30,0,0.0324223197016617,0.0174759318705083,0,0.0227060048868715,0,0.000724104791270031,0,0.0216676053559713,0.90398085184159,0,98.1160598154426,99.4502960358096,224.865867018736,224.865867018736,70.7525,7.485
"4","LU3_14",1000,"LU3",0,30,0,0.0305432164240854,0.0135918138808259,0,0.0199661328915958,0,0.0120099534794985,0.0075575701846117,0.054032076721349,0.869833881950855,0.000232607741472316,98.3970075655357,99.5290750097478,213.98323531507,213.476653711898,138.765,9.6825
"5","LU3_14",1250,"LU3",0,30,0,0.0305021273640013,0.0124334703936948,0,0.0131620788946524,0,0.0133462404986142,0.0227190839419364,0.0581843825175346,0.8470054084671,0.00739864160594515,98.513224492278,99.5939984034783,212.363437173492,210.628822998347,220.465,13.5325
"6","LU3_14",1500,"LU3",0,30,0,0.0301251676873503,0.0108922058265509,0,0.0123470235256091,0,0.0178947939560499,0.0257272215485311,0.0479287150973492,0.850506196487407,0.0159590928047737,98.5500274886242,99.6705448630369,208.587875732782,205.788937496255,322.405,20.2225
"7","LU3_14",1750,"LU3",0,30,0,0.0295682060008835,0.00953037036623632,0.000132341043484895,0.0113859128767658,0,0.0168311170560762,0.0189016321581071,0.0442400671461079,0.873788992232745,0.0142804553001526,98.5637632400442,99.6991256836408,202.631367538865,200.558200283506,465.32,24.28
"8","LU3_14",2000,"LU3",0,30,0,0.0294576622670075,0.00846440219857673,0.00128204105004178,0.0111065253715287,3.88642602399432e-05,0.0206394315796336,0.0144715621210497,0.0412765392538832,0.882380664072131,0.021149034105473,98.657413477823,99.7185948643722,201.904565320081,200.189742022301,614.87,36.0025
"9","LU3_14",2250,"LU3",0,30,0,0.0299394898550881,0.0076663253436486,0.00143067416515548,0.010368278906385,0.00195092981909979,0.0244398823054073,0.0114343206882363,0.0438803166363463,0.880316390577442,0.0200340316530114,98.7235211744862,99.7554388163867,202.762736005923,201.347798532983,787.95,44.47
"10","LU3_14",2500,"LU3",0,30,0.00210001176015755,0.0303027837567912,0.00669781606659294,0.00144216356330693,0.0111078187498408,0.00158025315347084,0.0416988380434582,0.00948996156263901,0.0425930103577812,0.870693712474502,0.0164278678151344,98.7959148117111,99.7730925987609,204.958673484303,203.448727285668,980.785,49.66
"11","LU3_14",2750,"LU3",0,30,0.00626747154083496,0.0306568379572697,0.00591533992352886,0.00140455769951156,0.011972659533474,0.00335446558594672,0.0630407007529347,0.0119764281589864,0.0419137669815179,0.847371364311892,0.0136541117039427,98.810278535291,99.7933608856015,207.787786904364,206.039516788226,1183.805,59.6225
"12","LU3_14",3000,"LU3",0,30,0.0105940099128025,0.0299582108941451,0.00528918769648081,0.00170754446060429,0.0130833351635838,0.00623285096833623,0.0836084796670844,0.0169500479866074,0.0405489085518534,0.817898105072152,0.0131361258264215,98.9115807930851,99.8063805989538,205.912114731546,203.863589404886,1407.2275,78.1025
"13","LU3_14",3250,"LU3",0,30,0.0102571380431746,0.0290803381206611,0.00489693322811852,0.00179378395620454,0.0145383052030277,0.0071746484471796,0.110145221721321,0.0222967831117772,0.03674899402026,0.786625391351986,0.0154655392323983,98.9902558109735,99.8170404693632,202.542809069593,200.15892556685,1670.5725,102.335
"14","LU3_14",3500,"LU3",0,30,0.0109858656885279,0.0282699859034195,0.00473456217881686,0.00189874500213396,0.0167855931250614,0.0161971394758941,0.135751733714473,0.0246719781417837,0.0371112667414556,0.750508105141061,0.0167252832841681,99.0740815128986,99.831092431422,199.081933002134,196.825050744161,1960.575,127.975
"15","LU3_14",3750,"LU3",0,30,0.0103086601359658,0.0277396672647121,0.00481750721080531,0.00200427958749935,0.017220136445973,0.0231974728438206,0.160912282934119,0.0285598067476285,0.0376130613005279,0.7126875870141,0.0156787001165959,99.1600695489878,99.8387431791548,196.745407417667,194.432085748932,2275.395,138.3875
"16","LU3_14",4000,"LU3",0,30,0.00906034582262632,0.027271496450849,0.00497451082294039,0.00208267283585836,0.0187619357281097,0.0262429676957421,0.183986258578073,0.0355026458744693,0.0357592025777436,0.681210533430836,0.0143179374853017,99.1952282363593,99.8488777925481,193.954873991547,191.736588541343,2621.07,151.0325
"17","LU3_14",4250,"LU3",0,30,0.00802577346225713,0.0267367994364688,0.00484892735680048,0.00208630407249627,0.0190098797171128,0.02830537729085,0.190897084982753,0.0423204820001402,0.0376131022799986,0.664971089524596,0.0141645894331995,99.2222308751788,99.8522866899094,191.068395746738,188.903377129691,3005.51,161.4775
"18","LU3_14",4500,"LU3",0,30,0.00715879176108768,0.0260612120922491,0.00462485759501928,0.00198990089438271,0.0187544848020878,0.0314668430148407,0.194655846455424,0.0413123313304159,0.0391855836199677,0.658871040027847,0.0139869875432539,99.2805106510909,99.8581225457328,186.799282779723,184.600184253041,3438.47,173.4075
"19","LU3_14",4750,"LU3",0,30,0.0064250651816962,0.0258533979938281,0.00444672441578194,0.00212979846226759,0.018907329306217,0.0341744085605839,0.195033921350808,0.0406909079959615,0.0365791660616048,0.657399756217547,0.0136183119358313,99.2935526323129,99.8629113377601,186.046544416344,183.861195068865,3856.865,186.3025
"20","LU3_14",5000,"LU3",0,30,0.00579862132648091,0.0256738387228706,0.00421945493421439,0.00204521989224184,0.0187299451671693,0.0358525632375875,0.196172784209778,0.0405881461013652,0.0355232838391607,0.654448560942262,0.0123480777453223,99.3030252681258,99.8656370131768,184.881114133677,182.401627795188,4304.5175,194
"21","LU3_19",250,"LU3",0,48,0,0.012704523155814,0,0,0.169005786305336,0.133541278644042,0.866458721357406,0,0,0,0,99.8517403049684,95.8652708466668,132.585669781931,132.585669781931,10.545,1.2625
"22","LU3_19",500,"LU3",0,48,0,0.0241205057178353,0.00236792929512027,0.00295705153759984,0.166978506207859,0.0368771334408447,0.953104568064899,0,0,0.0100182984946349,0,99.1643145084908,99.1199333184498,196.569630212431,196.569630212431,35.215,6.4225
"23","LU3_19",750,"LU3",0,48,0,0.0221404039629133,0.00277487924040687,0.00431947598420473,0.0943349012386375,0.0401792533089906,0.883273145598266,0,0,0.0632998591350549,0.0120785439144493,99.2648087847136,99.2230778616452,194.160850454297,191.352216714179,87.815,8.695
"24","LU3_19",1000,"LU3",0,48,0,0.0217143066556904,0.00887222741243302,0.00550131807177337,0.103452814514182,0.0606681134440019,0.76031021207423,0,0,0.171569819630432,0.00703374913967771,99.6082144067672,99.3507655835418,207.798375734165,206.215270631817,150.4975,16.95
"25","LU3_19",1250,"LU3",0,48,0,0.0221030715257274,0.00818237430737553,0.00419462563028628,0.0807714471294845,0.0462309649956603,0.687915300421184,0,0,0.261084547478282,0.0104369100970113,99.6085570602454,99.4013453070983,202.586469215945,201.572167562633,247.055,20.375
"26","LU3_19",1500,"LU3",0,48,0,0.023323078796448,0.00759775041023164,0.00361015729568204,0.0716611324668063,0.0517427086330481,0.642668796758917,0,0,0.302276559118564,0.0118062518923668,99.5889987622192,99.5603204661678,200.589284329689,199.88439876786,362.24,25.4425
