array,site,red_squirrel,absent_red_squirrel,buffer_dist,harvest,roads,trails,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial,forest_cai_mn,nonforest_cai_mn,nonveg_anthro_cai_mn,veg_anthro_cai_mn,forest_cohesion,nonforest_cohesion,nonveg_anthro_cohesion,veg_anthro_cohesion,forest_ed,nonforest_ed,nonveg_anthro_ed,veg_anthro_ed,forest_tca,nonforest_tca,nonveg_anthro_tca,veg_anthro_tca,seismic,pipe_trans
LU9,LU9_5,3,48,250,0,0.030723257026497,0,0.06874147353988602,0,0,0.7317978240215862,0.0466881433896024,0,0.202157706836989,0,0,85.78328771534375,0,3.893709542254218,0,99.84534149807574,100,95.61580654569104,95.0553394160357,29.887920298879205,0,123.03860523038604,98.63013698630138,13.32,0,0.23,0,0,0
LU9,LU9_6,1,49,250,0,0.02905814061954199,0,0.06596626171418862,0,0,0.0297070957644241,0.4688292983045642,0.3246534085935139,0.17681018475343807,0,0,63.68653867019612,0,0,0,99.42933332424391,100,95.19478677835322,94.90917726087372,52.07424940824717,0,154.97695278435282,102.90270337610563,13.245,0,0,0,0,0
LU9,LU9_7,0,51,250,0,0.03932347540563118,0,0.09146220281461934,1.696976433909402e-5,0,0.516076196431151,0.1729544788264421,0.0719496062085955,0.239019666603731,0,0,41.755911871365576,0,0.4694835680751174,0,99.33542050411585,100,95.4323713539333,95.45384408068112,83.10525006220453,0,180.39313262005476,155.01368499626773,11.4575,0,0.02,0,0.00866773228029728,0
LU9,LU9_8,0,51,250,0,0.03042725367845659,0,0.0680394582085413,0,0,0.06018880368201129,0.841515574103855,0,0.09829561352448164,0,0,45.01355719102622,0,0,0,99.60380915576822,100,93.59280358878442,94.54786058401004,45.33565823888405,0,90.6713164777681,86.18757005853782,14.835,0,0,0,0.00123783061453613,0
LU9,LU9_100,2,50,250,0,0.0178250020389236,0,0.02077653216565721,0.08998121431997076,0.746807495743412,0.0189367288425206,0,0,0.234255725300344,0,0.06887963038375867,2.8169014084507045,41.62782668738132,10.687022900763358,5.732662192393736,89.12691334553561,99.76560807852034,96.6888221356156,96.84647470278134,6.228201295465869,38.86397608370702,80.71748878923766,84.45440956651719,0.005,12.0575,0.63,1.025,0,0.04802204583609879
LU9,LU9_102,5,46,250,0,0,0,0,0,0,0.262781623767397,0.14452916884196906,0.24995140590252307,0,0.3427378014905589,0,34.97712157325928,30.350950628421547,0,0,97.77373029022742,97.43527153791598,100,96.88928100113672,143.78270620483428,83.22950411163717,0,160.2292549215051,7.4275,3.495,0,0,0.04366118492861271,0
LU9,LU9_106,21,31,250,0,0.01000696576176611,0,0.01796445182353752,0.04401812736144101,0.9571364950328448,0,0,0,0.04286351464593911,0,0,0,59.48400351035491,0,14.373015873015872,100,99.56902073575904,88.17449412281701,94.52424718123592,0,56.51686791983069,32.615461222457355,82.16108552222083,0,14.3425,0,0.2475,0.0104767884938601,0.00721839827310143
LU9,LU9_112,7,45,250,0,0.02295869622782782,0,0.02281204214672379,0,0.07743682544478103,0,0,0,0.171572856115807,0.750990292854915,0,0,24.189894817505856,1.1124607168334395,0,100,98.57596284911568,97.7187890293632,95.54261605838052,0,206.80204310452223,195.09156596486855,288.77538308209796,0,8.6975,0.04,0,0.03762161872070293,0.0189638421362452
LU9,LU9_113,4,47,250,0,0.0304115942343421,0,0.0369723049496717,0.0674311944279922,0,0.3318324346866348,0,0.4919982738077921,0.176169309214725,0,0,44.80585231204525,0,0,9.290321210310136,99.60989539543374,100,96.0179814935791,93.75489053912602,38.86881774012707,0,112.86906689921516,102.90270337610563,13.25,0,0,0.425,0,0.0289590919525095
LU9,LU9_12,6,45,250,0,0.0290921871421907,0,0.06773011647748763,0,0,0,0.829527811327939,0,0.17047207342263104,0,0.146681597731459,40.80791838956353,0,11.667478356646305,0,99.22354671771376,100,95.8394564286103,95.29245275339468,86.20904447489723,0,155.97358913666378,108.63336240189362,10.275,0,1.8825,0,0.00634214140644002,0
LU9,LU9_13,3,48,250,0,0,0,0,0.00770342680328754,0,0.9996616563081946,0,0,3.3834676859141507e-4,0,0,85.8351493398282,0,0,1.2012012012012012,99.98390704083212,100,100,89.1617429448048,23.177570093457945,0,0,23.177570093457945,16.74,0,0,0.01,0.00314915034293973,0.0133033637030764
LU9,LU9_18,9,42,250,0,0.0254743099463017,0,0.05915876293640702,0,0,0,0.847381390537813,0,0.152618521116255,0,0,49.12430917398292,0,0.49382716049382713,0,98.75969977537284,100,93.87475998813753,96.04081910335786,133.5659107899327,0,106.15499626214802,175.9282332419636,11.22,0,0.04,0,0.0126703993380676,0.03490310899973311
LU9,LU9_21,1,50,250,0,0.0200560572026773,0,0.09131914450397398,0,0,0.23409339495204504,0.6589597763188304,0,0.09919707919031756,0,0.02359226945808068,40.916736980950105,0,4.761904761904762,0,98.6359898396945,89.37201896990065,93.263351915367707,96.67733631202177,116.43239208856824,6.966040552307501,99.5148650329643,168.6776962308745,10.8825,0,0.09,0,0.0194481331160309,0
LU9,LU9_24,1,50,250,0,0.0305561833774737,0,0.09400578870557004,0,0.12662571900500494,0.17751332779300105,0.4614905733517811,0.0668859416426041,0.158666997694607,0.00881748574260597,0.0255056686305598,40.908514162893304,0,1.986754966887417,3.058818705537446,98.64076390570952,90.89431286309258,95.05664857611418,97.2352116180541,94.65686885041724,72.73633080084693,109.60269024785153,133.5160044837464,9.23,0,0.09,0.19,0,0.09659561088018064
