array,camera,site,date
LU3,19,LU3_19,2022-01-09
LU3,19,LU3_19,2022-01-10
LU3,19,LU3_19,2022-01-11
LU3,19,LU3_19,2022-01-12
LU3,19,LU3_19,2022-01-13
LU3,19,LU3_19,2022-01-14
LU3,19,LU3_19,2022-01-15
LU3,19,LU3_19,2022-01-16
LU3,19,LU3_19,2022-01-17
LU3,19,LU3_19,2022-01-18
LU3,19,LU3_19,2022-01-19
LU3,19,LU3_19,2022-01-20
LU3,19,LU3_19,2022-01-21
LU3,19,LU3_19,2022-01-22
LU3,19,LU3_19,2022-01-23
LU3,19,LU3_19,2022-01-24
LU3,19,LU3_19,2022-01-25
LU3,19,LU3_19,2022-01-26
LU3,19,LU3_19,2022-01-27
LU3,19,LU3_19,2022-01-28
LU3,19,LU3_19,2022-01-29
LU3,19,LU3_19,2022-01-30
LU3,19,LU3_19,2022-01-31
LU3,19,LU3_19,2022-02-01
LU3,19,LU3_19,2022-02-02
LU3,19,LU3_19,2022-02-03
LU3,19,LU3_19,2022-02-04
LU3,19,LU3_19,2022-02-05
LU3,19,LU3_19,2022-02-06
LU3,19,LU3_19,2022-02-07
LU3,19,LU3_19,2022-02-08
LU3,19,LU3_19,2022-02-09
LU3,19,LU3_19,2022-02-10
LU3,19,LU3_19,2022-02-11
LU3,19,LU3_19,2022-02-12
LU3,19,LU3_19,2022-02-13
LU3,19,LU3_19,2022-02-14
LU3,19,LU3_19,2022-02-15
LU3,19,LU3_19,2022-02-16
LU3,19,LU3_19,2022-02-17
LU3,19,LU3_19,2022-02-18
LU3,19,LU3_19,2022-02-19
LU3,19,LU3_19,2022-02-20
LU3,19,LU3_19,2022-02-21
LU3,19,LU3_19,2022-02-22
LU3,19,LU3_19,2022-02-23
LU3,19,LU3_19,2022-02-24
LU3,19,LU3_19,2022-02-25
LU3,19,LU3_19,2022-02-26
LU3,19,LU3_19,2022-02-27
LU3,19,LU3_19,2022-02-28
LU3,19,LU3_19,2022-03-01
LU3,19,LU3_19,2022-03-02
LU3,19,LU3_19,2022-03-03
LU3,19,LU3_19,2022-03-04
LU3,19,LU3_19,2022-03-05
LU3,19,LU3_19,2022-03-06
LU3,19,LU3_19,2022-03-07
LU3,19,LU3_19,2022-03-08
LU3,19,LU3_19,2022-03-09
LU3,19,LU3_19,2022-03-10
LU3,19,LU3_19,2022-03-11
LU3,19,LU3_19,2022-03-12
LU3,19,LU3_19,2022-03-13
LU3,19,LU3_19,2022-03-14
