array,camera,site,treatment,date
CL,1,CL_1,post,2018-04-09
CL,1,CL_1,post,2018-04-10
CL,1,CL_1,post,2018-04-11
CL,1,CL_1,post,2018-04-12
CL,1,CL_1,post,2018-04-13
CL,1,CL_1,post,2018-04-14
CL,1,CL_1,post,2018-04-15
CL,1,CL_1,post,2018-04-16
CL,1,CL_1,post,2018-04-17
CL,1,CL_1,post,2018-04-18
CL,1,CL_1,post,2018-04-19
CL,1,CL_1,post,2018-04-20
CL,1,CL_1,post,2018-04-21
CL,1,CL_1,post,2018-04-22
CL,1,CL_1,post,2018-04-23
CL,1,CL_1,post,2018-04-24
CL,1,CL_1,post,2018-04-25
CL,1,CL_1,post,2018-04-26
CL,1,CL_1,post,2018-04-27
CL,1,CL_1,post,2018-04-28
CL,1,CL_1,post,2018-04-29
CL,1,CL_1,post,2018-04-30
CL,1,CL_1,post,2018-05-01
CL,1,CL_1,post,2018-05-02
CL,1,CL_1,post,2018-05-03
CL,1,CL_1,post,2018-05-04
CL,1,CL_1,post,2018-05-05
CL,1,CL_1,post,2018-05-06
CL,1,CL_1,post,2018-05-07
CL,1,CL_1,post,2018-05-08
CL,1,CL_1,post,2018-05-09
CL,1,CL_1,post,2018-05-10
CL,1,CL_1,post,2018-05-11
CL,1,CL_1,post,2018-05-12
CL,1,CL_1,post,2018-05-13
CL,1,CL_1,post,2018-05-14
CL,1,CL_1,post,2018-05-15
CL,1,CL_1,post,2018-05-16
CL,1,CL_1,post,2018-05-17
CL,1,CL_1,post,2018-05-18
CL,1,CL_1,post,2018-05-19
CL,1,CL_1,post,2018-05-20
CL,1,CL_1,post,2018-05-21
CL,1,CL_1,post,2018-05-22
CL,1,CL_1,post,2018-05-23
CL,1,CL_1,post,2018-05-24
CL,1,CL_1,post,2018-05-25
CL,1,CL_1,post,2018-05-26
CL,1,CL_1,post,2018-05-27
CL,1,CL_1,post,2018-05-28
CL,1,CL_1,post,2018-05-29
CL,1,CL_1,post,2018-05-30
CL,1,CL_1,post,2018-05-31
CL,1,CL_1,post,2018-06-01
CL,1,CL_1,post,2018-06-02
CL,1,CL_1,post,2018-06-03
CL,1,CL_1,post,2018-06-04
CL,1,CL_1,post,2018-06-05
CL,1,CL_1,post,2018-06-06
CL,1,CL_1,post,2018-06-07
CL,1,CL_1,post,2018-06-08
CL,1,CL_1,post,2018-06-09
CL,1,CL_1,post,2018-06-10
CL,1,CL_1,post,2018-06-11
CL,1,CL_1,post,2018-06-12
CL,1,CL_1,post,2018-06-13
CL,1,CL_1,post,2018-06-14
CL,1,CL_1,post,2018-06-15
CL,1,CL_1,post,2018-06-16
CL,1,CL_1,post,2018-06-17
CL,1,CL_1,post,2018-06-18
CL,1,CL_1,post,2018-06-19
CL,1,CL_1,post,2018-06-20
CL,1,CL_1,post,2018-06-21
CL,1,CL_1,post,2018-06-22
CL,1,CL_1,post,2018-06-23
CL,1,CL_1,post,2018-06-24
CL,1,CL_1,post,2018-06-25
CL,1,CL_1,post,2018-06-26
CL,1,CL_1,post,2018-06-27
CL,1,CL_1,post,2018-06-28
CL,1,CL_1,post,2018-06-29
CL,1,CL_1,post,2018-06-30
CL,1,CL_1,post,2018-07-01
CL,1,CL_1,post,2018-07-02
CL,1,CL_1,post,2018-07-03
CL,1,CL_1,post,2018-07-04
CL,1,CL_1,post,2018-07-05
CL,1,CL_1,post,2018-07-06
CL,1,CL_1,post,2018-07-07
CL,1,CL_1,post,2018-07-08
CL,1,CL_1,post,2018-07-09
CL,1,CL_1,post,2018-07-10
CL,1,CL_1,post,2018-07-11
CL,1,CL_1,post,2018-07-12
CL,1,CL_1,post,2018-07-13
CL,1,CL_1,post,2018-07-14
CL,1,CL_1,post,2018-07-15
CL,1,CL_1,post,2018-07-16
CL,1,CL_1,post,2018-07-17
CL,1,CL_1,post,2018-07-18
CL,1,CL_1,post,2018-07-19
CL,1,CL_1,post,2018-07-20
CL,1,CL_1,post,2018-07-21
CL,1,CL_1,post,2018-07-22
CL,1,CL_1,post,2018-07-23
CL,1,CL_1,post,2018-07-24
CL,1,CL_1,post,2018-07-25
CL,1,CL_1,post,2018-07-26
CL,1,CL_1,post,2018-07-27
CL,1,CL_1,post,2018-07-28
CL,1,CL_1,post,2018-07-29
CL,1,CL_1,post,2018-07-30
CL,1,CL_1,post,2018-07-31
CL,1,CL_1,post,2018-08-01
CL,1,CL_1,post,2018-08-02
CL,1,CL_1,post,2018-08-03
CL,1,CL_1,post,2018-08-04
CL,1,CL_1,post,2018-08-05
CL,1,CL_1,post,2018-08-06
CL,1,CL_1,post,2018-08-07
CL,1,CL_1,post,2018-08-08
CL,1,CL_1,post,2018-08-09
CL,1,CL_1,post,2018-08-10
CL,1,CL_1,post,2018-08-11
CL,1,CL_1,post,2018-08-12
CL,1,CL_1,post,2018-08-13
CL,1,CL_1,post,2018-08-14
CL,1,CL_1,post,2018-08-15
CL,1,CL_1,post,2018-08-16
CL,1,CL_1,post,2018-08-17
CL,1,CL_1,post,2018-08-18
CL,1,CL_1,post,2018-08-19
CL,1,CL_1,post,2018-08-20
CL,1,CL_1,post,2018-08-21
CL,1,CL_1,post,2018-08-22
CL,1,CL_1,post,2018-08-23
CL,1,CL_1,post,2018-08-24
CL,1,CL_1,post,2018-08-25
CL,1,CL_1,post,2018-08-26
CL,1,CL_1,post,2018-08-27
CL,1,CL_1,post,2018-08-28
CL,1,CL_1,post,2018-08-29
CL,1,CL_1,post,2018-08-30
CL,1,CL_1,post,2018-08-31
CL,1,CL_1,post,2018-09-01
CL,1,CL_1,post,2018-09-02
CL,1,CL_1,post,2018-09-03
CL,1,CL_1,post,2018-09-04
CL,1,CL_1,post,2018-09-05
CL,1,CL_1,post,2018-09-06
CL,1,CL_1,post,2018-09-07
CL,1,CL_1,post,2018-09-08
CL,1,CL_1,post,2018-09-09
CL,1,CL_1,post,2018-09-10
CL,1,CL_1,post,2018-09-11
CL,1,CL_1,post,2018-09-12
CL,1,CL_1,post,2018-09-13
CL,1,CL_1,post,2018-09-14
CL,1,CL_1,post,2018-09-15
CL,1,CL_1,post,2018-09-16
CL,1,CL_1,post,2018-09-17
CL,1,CL_1,post,2018-09-18
CL,1,CL_1,post,2018-09-19
CL,1,CL_1,post,2018-09-20
CL,1,CL_1,post,2018-09-21
CL,1,CL_1,post,2018-09-22
CL,1,CL_1,post,2018-09-23
CL,1,CL_1,post,2018-09-24
CL,1,CL_1,post,2018-09-25
CL,1,CL_1,post,2018-09-26
CL,1,CL_1,post,2018-09-27
CL,1,CL_1,post,2018-09-28
CL,1,CL_1,post,2018-09-29
CL,1,CL_1,post,2018-09-30
CL,1,CL_1,post,2018-10-01
CL,1,CL_1,post,2018-10-02
CL,1,CL_1,post,2018-10-03
CL,1,CL_1,post,2018-10-04
CL,1,CL_1,post,2018-10-05
CL,1,CL_1,post,2018-10-06
CL,1,CL_1,post,2018-10-07
CL,1,CL_1,post,2018-10-08
CL,1,CL_1,post,2018-10-09
CL,1,CL_1,post,2018-10-10
CL,1,CL_1,post,2018-10-11
CL,1,CL_1,post,2018-10-12
