"Site","BUFF_DIST","Feature_Area","Buffer_Area","HARVEST-AREA","WELL-BITUMEN","WELL-OIL","PIPELINE","WELL-OTHER","CLEARING-WELLPAD-UNCONFIRMED","CLEARING-UNKNOWN","WELL-ABAND","MISC-OIL-GAS-FACILITY","URBAN-RESIDENCE","COUNTRY-RESIDENCE","CONVENTIONAL-SEISMIC","TRAIL","HARVEST-AREA-WHITE-ZONE","ROUGH_PASTURE","WELL-GAS","WELL-CASED","VEGETATED-EDGE-ROADS","ROAD-GRAVEL-1L","ROAD-GRAVEL-2L","ROAD-UNIMPROVED","TRUCK-TRAIL","ROAD-UNCLASSIFIED","ROAD-PAVED-UNDIV-2L","BORROWPITS","BORROWPIT-DRY","BORROWPIT-WET","SUMP","LOW-IMPACT-SEISMIC","OIL-GAS-PLANT","GRVL-SAND-PIT","TRANSMISSION-LINE","SURROUNDING-VEG","CAMP-INDUSTRIAL","VEGETATED-EDGE-RAILWAYS","FACILITY-UNKNOWN","LAGOON","RUNWAY","FACILITY-OTHER","OPEN-PIT-MINE","RIS-TRANSMISSION-LINE","RIS-CLEARING-UNKNOWN","RIS-FACILITY-UNKNOWN","RIS-FACILITY-OPERATIONS","RIS-PLANT","URBAN-INDUSTRIAL","RIS-OILSANDS-RMS","RIS-RECLAIMED-PERMANENT","MINES-OILSANDS","RIS-SOIL-SALVAGED","RIS-WASTE","RIS-DRAINAGE","RIS-ROAD","AIRP-RUNWAY","RIS-BORROWPITS","TAME_PASTURE","RIS-TAILING-POND","RIS-RECLAIMED-TEMP","ROAD-WINTER","RECREATION","GREENSPACE","WELL_CLEARED_NOT_CONFIRMED","RIS-RECLAIMED-CERTIFIED","RIS-SOIL-REPLACED","RIS-MINES-OILSANDS","RIS-WINDROW","TAILING-POND","RIS-OVERBURDEN-DUMP","CANAL","RLWY-MLT-TRACK","ROAD-PAVED-2L","ROAD-UNPAVED-2L","ROAD-PAVED-3L","ROAD-PAVED-DIV","CAMPGROUND","RESERVOIR","ROAD-PAVED-1L","CULTIVATION_ABANDONED","RLWY-SGL-TRACK","CROP","RURAL-RESIDENCE","ROAD-PAVED-UNDIV-1L","RESIDENCE_CLEARING","GOLFCOURSE","LANDFILL","TRANSFER_STATION","WELL_CLEARED_NOT_DRILLED","WELL-UNKNOWN","RIS-CAMP-INDUSTRIAL","RIS-UTILITIES","RIS-RECLAIM-READY","RIS-AIRP-RUNWAY","DUGOUT","RIS-TANK-FARM","MILL","MINES-PITLAKE","RLWY-DBL-TRACK","ROAD-PAVED-4L","INTERCHANGE-RAMP","ROAD-PAVED-5L"
"LU09_13","250","0","196259.835910968","0","0.00770342680328754","0","0.0133033637030764","0","0","0","0","0","0","0","0.00314915034293973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_18","250","0","196259.835911","0","0","0","0.0349031089997331","0","0","0","0","0","0","0","0.0126703993380676","0","0","0","0","0","0.059158762936407","0","0","0","0","0","0.0254743099463017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_21","250","0","196259.835910944","0","0","0","0","0","0","0","0","0","0","0","0.0194481331160309","0","0","0","0","0","0.091319144503974","0.0200560572026773","0","0","0","0","0","0.0235922694580807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_24","250","0","196259.835910931","0","0","0","0.0965956108801806","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09400578870557","0","0.0305561833774737","0","0","0","0","0.0255056686305598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_28","250","0","196259.835910923","0","0","0","0.124305442081258","0","0","0","0","0","0","0","0.0102704551490718","0","0","0","0","0","0.0227712842802318","0.023066885270922","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_29","250","0","196259.835911034","0","0","0","0.0646230572257322","0","0","0","0","0","0","0","0.00713301437982654","0","0","0","0.0389069047187508","0","0.0429063218401892","0","0.0222761327373668","0","0.00645762960917569","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_30","250","0","196259.835910888","0.012662921089415","0","0","0.0395906696382047","0","0","0.0367704455514521","0","0.114504964679208","0","0","0.00798504642170792","0","0","0","0.0605482828148888","0","0.0508299937394641","0.00375366562730045","0.0284741398966044","0","0","0","0","0.0146917970361085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_31","250","0","196259.83591099","0","0","0","0.033625225641696","0","0","0","0.0509529231758996","0","0","0","0.0216590267976199","0","0","0","0","0","0.0460249331589634","0","0.0287567517958761","0","0","0","0","0.0143977329892692","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_32","250","0","196259.835911","0","0","0","0.0174212603517904","0","0","0.0424840299314347","0.0509189823839002","0","0","0","0","0","0","0","0","0","0.0328925702841187","0","0.02256698264039","0.0256357738663086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_33","250","0","196259.835911041","0","0","0","0.0295662843260012","0","0","0.114188909732603","0","0","0","0","0.012367235036692","0","0","0","0","0","0.0468378167603717","0","0.0307441550236468","0","0","0","0","0","0","0.0644091149864005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_39","250","0","196259.83591086","0","0","0","0.0924316554363976","0","0","0","0.0484997579354174","0","0","0","0","0","0","0","0","0","0.0169693034354234","0.0012286613616595","0.0103856377559135","0","0","0","0","0.000118460222168675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_41","250","0","196259.835910999","0.235992507014493","0","0","0.133038765036079","0","0","0","0","0","0","0","0.00645840641643","0","0","0","0.0275499944915521","0","0.0197677916761879","0.0198535214449139","0","0","0.00226587341441303","0","0","0.0139545761708995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_44","250","0","196259.835910956","0","0","0","0","0","0","0","0.0499268434506097","0","0","0","0","0","0","0","0","0","0.00719006219888079","0.00411128110448144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_51","250","0","196259.835910889","0","0.0372101414048476","0","0.0335188169951084","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0120344124054793","0.0205108792262885","0","0","0","0","0","0","0","0","0.0651597571791225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_55","250","0","196259.835911002","0","0","0","0.0437232997441897","0","0","0.0980680014400699","0.0520063600658721","0","0","0","0","0","0","0","0","0","0.026461403700012","0.018968823616994","0","0.0073662062785694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_57","250","0","196259.835911029","0","0.0392116193080989","0","0.0371453216230761","0","0","0","0","0","0","0","0.0105324000382523","0","0","0","0","0","0.0125087618574654","0.012254634646271","0","0","0","0","0","0","0","0","0.0198799683507469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_62","250","0","196259.835910901","0","0","0","0.103668834954161","0","0","0","0","0","0","0","0.0131338803946104","0","0","0","0.0421923909874971","0","0.036107297129902","0.0351858386585045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_63","250","0","196259.835911001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0790941222972407","0","0.0323360435014586","0","0","0","0","0","0.0537269706493084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_64","250","0","196259.835910951","0","0","0","0.0380674473828488","0","0","0","0","0","0","0","0.0101928365150597","0","0","0","0","0","0.0374482055985651","0","0.0225290065194517","0","0","0","0","0","0.0117174780118419","0.116021792127173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_65","250","0","196259.835910948","0","0.0444404942373749","0","0.0550549539877246","0","0","0","0","0","0","0","0.0146963572751688","0","0","0","0","0","0.00566563514719263","0.00338749531007567","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_67","250","0","196259.835910928","0","0","0","0.0940702446554273","0.0626255936718773","0","0","0","0","0","0","0","0","0","0","0","0","0.00891743459222736","0.00818897924279034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_68","250","0","196259.835910916","0","0.00999380962429483","0","0.031849722066213","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0297051190103883","0.023569985952338","0","0","0","0","0","0","0.0132537659814371","0","0.0682097682713048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_72","250","0","196259.835910964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0835196935808965","0","0.0263243597711482","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_73","250","0","196259.835910891","0","0","0","0.0562769010091194","0","0","0","0","0","0","0","0","0","0","0","0","0","0.028935785547853","0.0173358484898187","0","0","0","0","0","0","0","0","0.0272916623598647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
