array,site,array_year,lat,long,easting_12n,northing_12n,buffer_dist,cfi_site,cfi_site_with_harvest,cfi_site_with_vegedges,harvest_0_15,harvest_gt_15,harvest_total,osm_industrial,pipe_trans,railways,roads,seismic,seismic_lines,seismic_lines_3D,trails,veg_edges,wells_active,wells_inactive,wells_total,pct_betu_pap,fire_0_15,fire_gt_15,pct_lari_lar,lc_broadleaf,lc_coniferous,lc_herbs,lc_mixedwood,lc_shrubs,lc_water,lc_wetland,lc_wetland_treed,pct_pice_gla,pct_pice_mar,pct_pinu_ban,pct_popu_tre,nonanthro_cai_mn,nonanthro_ed,nonanthro_tca,landscape_cai_mn,landscape_ed,landscape_tca,nonanthro_cohesion,landscape_cohesion,landscape_contag,landscape_mesh,landscape_np,landscape_shei,landscape_siei
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8815000000000001,0.0024,0.0166,0.0877,0,0,0.0024,0.0095,0,0,0,0.9976,51.873198847262245,0,0.45,0,0,0,100,100,99.53116783012574,0.8574916176340414,1,0,0.001
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8815000000000001,0.0024,0.0166,0.0877,0,0,0.0024,0.0095,0,0,0,0.9976,70.51282051282051,0,2.3375,0,0,0,100,100,99.53116783012574,3.3099676435921186,1,0,0.001
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,250,0.12703261115804002,0.12703261115804002,0.13462246304983025,0,0,0,0.04388802943363848,0.03037958775442342,0,0.00852643295507374,0.00799508717228498,0.00799508717228498,0,0.00365337155305439,0.00758985189179024,0.01136537955199835,0.02122472273756666,0.03259010228956501,0,0,0,0.00174976904158935,0.8467509884142264,0.00780768083993336,0.04205539648728377,0.08352010289767543,7.626042785964282e-4,0,0.0030331166353602,0.01616841657563533,0,0.0026238066267395,6.402833472611585e-4,0.991308385951876,43.42500084342208,129.74722948574274,10.7,0,0,0,98.8685640464601,98.42874833016587,71.0448221587839,7.29381610166009,8,0.4474263287303673,0.4071409872220576
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,500,0.09869401438156578,0.09869401438156578,0.12247120604656682,0,0,0,0.01272600112790292,0.01642586690394296,0,0.01934640222399685,0.00423565398347123,0.00423565398347123,0,0.00234783936850858,0.02377719166500104,0.01905726301101526,0.02455498776272799,0.04361225077374325,0,0,0,0.02610395719310342,0.5900697986739378,0.04843560632708305,0.11298021800637936,0.1341519477511536,0.00243962662913005,7.622146618764061e-4,0.0077600569570646,0.09515487834292842,0.00170390679036146,0.04021495614167596,0.01026004358009868,0.9009825653753558,68.38541319017719,98.87343445150732,44.105,0,0,0,99.03212729612486,98.68395961403452,66.25192376929182,9.27244696941752,24,0.5702043994196057,0.664692667995842
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,750,0.08637309729110848,0.08637309729110848,0.10741941067363792,0,0,0,0.00772538358143192,0.02381229719229388,0,0.0149220675494516,0.00301244071630317,0.00301244071630317,0,0.00202463171424278,0.02104631338252943,0.01288329513860106,0.02199298139878409,0.03487627653738515,0,0,0,0.03265470498677544,0.47808491302524553,0.08121406542166634,0.12889430753951756,0.16858368169999935,0.00266069788206019,0.00161474263781663,0.0123045439583982,0.1220281228036181,0.01472186272881953,0.05493400475722394,0.01752150552577202,0.8640550220412834,63.08364982931353,83.04546858763726,113.765,0,0,0,99.28662573881232,98.78763423529644,62.12834219320082,16.508927372719512,61,0.6512944388229548,0.7484934773030982
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,1000,0.07781523557943033,0.07781523557943033,0.0948514288776141,0,2.5171166777093593e-5,2.5171166777093593e-5,0.00857983055522403,0.02295884276635257,0,0.01146340375862336,0.00329875017476403,0.00329875017476403,0,0.00212283720969025,0.01703619329818376,0.00770793886867733,0.02168363224609876,0.02939157111477609,0,0,0,0.03493483316906796,0.4478961899819987,0.1000279532035068,0.1254937501545441,0.1730697968145194,0.00272617070041087,0.00198718468335367,0.01833267042756397,0.127380381012172,0.02032647396479256,0.05475325565894706,0.02644916408202185,0.8490977033141309,61.72430565457435,80.27290571772303,214.13,0,0,0,99.46366475585592,98.90371937437976,61.39995245862515,22.7883177234331,109,0.6683745932033474,0.775004585775435
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,1250,0.09777604841081725,0.09777604841081725,0.11285236658184597,0,0.00546818747302215,0.00546818747302215,0.03204780153719571,0.02112553640374657,0,0.009950579635152114,0.00285434630834901,0.00285434630834901,0,0.00194808389245579,0.01507631817102873,0.00794312650710919,0.02190657412680886,0.02984970063391805,0,0,0,0.03668673630991023,0.4434988952290315,0.099875591017391,0.13530808522534105,0.16452707592448257,0.00259887447398923,0.00187167678830817,0.01948782697597298,0.1256430009884385,0.0205636583845029,0.05662990023123369,0.02543528820247899,0.8433003894342416,52.31995619127133,77.88427405040824,330.5025,0,0,0,99.505657167333,99.10141383739176,60.07563674361954,31.035290000887404,138,0.692785542597679,0.7933442491112639
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,1500,0.08866306690850877,0.08866306690850877,0.10219324794825793,0,0.00897898522986176,0.00897898522986176,0.0270956753607291,0.02001361027590128,0,0.00852746718227652,0.0037082731520944,0.0037082731520944,0,0.00196395100730475,0.01353018103974916,0.007737458149692728,0.01961663178050999,0.027354089930202715,0,0,0,0.04158650729430274,0.41911599303891406,0.11287019794937923,0.13785753388070915,0.17397461213588425,0.00225315859138992,0.00145049572220163,0.01650605061496574,0.12933911023000913,0.02803736583496863,0.06788273773211331,0.02356022027819698,0.8097054111214699,46.45784364752625,76.69371153859709,477.48,0,0,0,99.573975967268,99.15332147659517,58.96500138002748,40.154634591931,195,0.713370435316353,0.8157115534844279
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,1750,0.07742122271888222,0.07742122271888222,0.08930487305843111,0,0.00659680547500055,0.00659680547500055,0.019907026795637932,0.01830608747604752,0,0.007690934810724297,0.00497152142331277,0.00497152142331277,0,0.00233220006774874,0.0118836503395489,0.007224486679002634,0.01698896546640833,0.024213452145410964,0,0,0,0.04773446603927264,0.41423908782616087,0.1230374364500961,0.12541832216971951,0.17748366109198704,0.00189709887870013,0.00106567032651542,0.01445189516866194,0.13750099346039552,0.03148620683712015,0.0777963359579139,0.02042574878902145,0.7971707680197851,42.37304877490076,77.31153402686911,668.74,0,0,0,99.607018139251025,99.21730348548073,58.459311041596465,47.54244545249004,253,0.7260744305715542,0.8238765350240427
LU1,LU1_10,2022,54.58592,-110.60129,525766.8107989627,6048787.659593273,2000,0.07299283207843703,0.07299283207843703,0.08506506490438281,0,0.00505067919179782,0.00505067919179782,0.01524131739041188,0.01750530177251514,0,0.008143204772767445,0.00527280763616879,0.00527280763616879,0,0.00197459033033061,0.01207223282594578,0.00951574285394654,0.01533986732229662,0.02485561017624316,0,0,6.400564497302806e-5,0.05184953642836974,0.41780478284314027,0.1211465379695018,0.12317314531238772,0.1739544416727582,0.00154858501931945,8.159038437383264e-4,0.01280943467162396,0.14427879491914716,0.03087497679086542,0.07792177422049557,0.01761675905280304,0.8000871110930868,35.543926759225926,73.34038503900598,888.485,0,0,0,99.6886077685794,99.28836136389988,58.66507396568996,56.674897607955906,301,0.7263623075130835,0.8206092518649574
