"Site","BUFF_DIST","LC_class20","LC_class31","LC_class33","LC_class34","LC_class50","LC_class110","LC_class210","LC_class220","LC_class230"
"RICH01","250","0","0","0","0","0","0","1.00000000000005","0","0"
"RICH02","250","0","0","0","0","0.994490035463839","0","0.00550996453597845","0","0"
"RICH03","250","0","0","0","0","0.999999999999886","0","0","0","0"
"RICH04","250","0","0","0","0","0.913095508602215","0","0.0869044913979618","0","0"
"RICH05","250","0","0","0","0","0.875195404683076","0","0.115790259747787","0.00901433556885295","0"
"RICH06","250","0","0","0","0","0.359999396396431","0","0.0822106726079437","0.557789930994143","0"
"RICH07","250","0","0","0","0","0.99999999999991","0","0","0","0"
"RICH08","250","0","0","0","0","0.767341427408761","0","0.232658572591544","0","0"
"RICH09","250","0","0","0","0","0.906853372181864","0","0","0.0883818805934941","0.00476474722473704"
"RICH10","250","0","0","0","0","0.830716279160976","0","0.169283720839102","0","0"
"RICH11","250","0","0","0","0","0.320181776799069","0","0.322973897722035","0","0.35684432547921"
"RICH12","250","0","0","0","0","0.533227181584493","0","0","0.466772818415341","0"
"RICH13","250","0","0","0","0","0.68608254799896","0","0.196033906055832","0.11788354594635","0"
"RICH14","250","0","0","0","0","0.984678912236708","0","0","0","0.015321087763228"
"RICH15","250","0","0","0","0","0.603396756632328","0","0.396603243367566","0","0"
"RICH16","250","0","0","0","0","0.933840657944848","0","0.0661593420554034","0","0"
"RICH17","250","0","0","0","0","0.91290461082095","0","0.0870953891790683","0","0"
"RICH18","250","0","0","0","0","0.987011169053738","0","0.0129888309464051","0","0"
"RICH19","250","0","0","0","0","0.89057165315398","0","0.109428346846091","0","0"
"RICH20","250","0","0","0","0","1.00000000000014","0","0","0","0"
"RICH21","250","0","0","0","0","0.328851049395778","0","0.630284382080191","0","0.0408645685241199"
"RICH22","250","0","0","0","0","0.0515182789851803","0","0.94848172101531","0","0"
"RICH23","250","0","0","0","0","0.591841382415272","0","0.163085413801934","0.245073203782551","0"
"RICH24","250","0","0","0","0","0.879165904376681","0","0.120834095623259","0","0"
