"Site","BUFF_DIST","Feature_Area","Buffer_Area","CONVENTIONAL-SEISMIC","LOW-IMPACT-SEISMIC","TRAIL","HARVEST-AREA","WELL-ABAND","RUNWAY","WELL-OTHER","CLEARING-WELLPAD-UNCONFIRMED","CLEARING-UNKNOWN","VEGETATED-EDGE-ROADS","ROAD-GRAVEL-1L","TRUCK-TRAIL","ROAD-UNIMPROVED","ROAD-WINTER","ROAD-WINTER-ACCESS","BORROWPITS","SUMP","BORROWPIT-DRY"
"RICH52","250","0","196259.835910999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH53","250","0","196259.83591095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH54","250","0","196259.835910975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH55","250","0","196259.835910942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH56","250","0","196259.835910896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH57","250","0","196259.835910977","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH58","250","0","196259.835911043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH01","500","0","785039.343644209","0.0188767014095587","0","0.00289607491260273","0","0.00338197589082175","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH02","500","0","785039.343644128","0.00575558879356267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH03","500","0","785039.343644145","0.00422378785229783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH04","500","0","785039.343644241","0.00765126766151561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH05","500","0","785039.343644368","0.00152376852562155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH06","500","0","785039.343644226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH07","500","0","785039.343644313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH08","500","0","785039.343644137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH09","500","0","785039.343644374","0.00764673426183494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH10","500","0","785039.343644323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH11","500","0","785039.34364416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH12","500","0","785039.343644128","0.00763803719578473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH13","500","0","785039.343644122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH14","500","0","785039.343644176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH15","500","0","785039.343644132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH16","500","0","785039.343644108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH17","500","0","785039.343644192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH18","500","0","785039.343644142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH19","500","0","785039.343644031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH20","500","0","785039.34364434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH21","500","0","785039.343644024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH22","500","0","785039.343644068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH23","500","0","785039.343644203","0.00767831259264769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH24","500","0","785039.343644226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH25","500","0","785039.343644193","0.00764073989265412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
