buffer,site,water_area_mn,natural_area_mn,anthropogenic_area_mn,water_cohesion,natural_cohesion,anthropogenic_cohesion,water_core_mn,natural_core_mn,anthropogenic_core_mn,water_ed,natural_ed,anthropogenic_ed,water_lpi,natural_lpi,anthropogenic_lpi,water_np,natural_np,anthropogenic_np,water_pd,natural_pd,anthropogenic_pd,water_split,natural_split,anthropogenic_split,water_tca,natural_tca,anthropogenic_tca,landscape_split
2500,LU3_19,1.1912500000000001,10.322863636363637,1.4678651685393258,96.10076878197955,99.55342399918455,99.69587864123113,0.6425,6.382469696969697,0.3416011235955056,0.4626487402989931,188.36921403096696,188.0590868534039,0.11820421112034715,23.361219359053553,11.200293858210872,2,165,178,0.10168104182395454,8.38868595047625,9.049612722331954,715267.6037849436,12.173705704644501,79.61624684421722,1.285,1053.1075,60.805,10.559003719664885
2750,LU3_19,3.041875,10.66940414507772,1.596502590673575,97.27987559707418,99.55581197937676,99.71303771276129,1.993125,6.593354922279793,0.36659326424870464,1.0695580455875477,188.17917723879614,187.23569676243307,0.28619608213953635,22.848932805908834,10.746957065334446,4,193,193,0.16810342563262046,8.110990286773937,8.110990286773937,99930.24315310606,13.682008991035334,86.36335939281871,7.9725,1272.5175,70.7525,11.809488411158998
3000,LU3_19,6.86125,10.534034334763948,1.6720334928229663,98.22792755125528,99.5959339750556,99.72912170296243,5.14875,6.5272961373390554,0.3621291866028708,1.5134230202766898,186.66845616724297,185.2609904179308,0.3749121437628252,24.929450117082787,10.161567178675746,4,233,209,0.14127636128603874,8.229348044911756,7.381689877195523,35901.65783301148,12.790898227130336,96.5000892047578,20.595,1520.86,75.68499999999999,11.290360521349301
3250,LU3_19,7.8285,10.738604868913859,1.770244680851064,98.3380304653066,99.60952444260735,99.7598422199481,5.9505,6.7180056179775285,0.40625531914893614,1.9007587232861003,183.24036471090182,181.42990331413762,0.48113425481755057,25.627585231270267,10.351158778066479,5,267,235,0.150495544203175,8.036462060449544,7.073290577549225,27176.105167012938,12.67546672833593,92.78997361983645,29.7525,1793.7075,95.47,11.147478899985995
3500,LU3_19,7.206071428571429,11.673380281690141,1.8169496268656717,98.36379949221975,99.63544066820317,99.78422943284367,5.335714285714285,7.401971830985915,0.4418656716417911,2.1154407709029557,178.6833652379871,176.65098471821162,0.4149119107102301,23.43265955030661,10.837416047500081,7,284,268,0.18169429934135817,7.371597287563674,6.956296031926285,25351.36363351535,14.012690111162382,84.895613727408,37.35,2102.16,118.42,12.02175912692593
3750,LU3_19,10.543214285714287,10.467048611111112,1.9939862542955327,98.74033969112699,99.615681458616,99.82848701717741,8.285357142857142,6.689527777777778,0.5345618556701031,2.29185087027016,175.538590607821,173.33493133492678,0.5863045233244162,20.716206223613185,12.039792501000635,7,360,291,0.15829261067480138,8.140762834704072,6.580449958052458,15895.531138973163,17.01720545176416,68.97665474101339,57.9975,2408.23,155.5575,13.637983211607256
4000,LU3_19,11.3040625,9.258486984815619,2.2336794019933555,98.86242743896011,99.58864920864507,99.83947793055916,8.9965625,5.9278633405639916,0.6213953488372094,2.3892190960622113,175.49331063376422,173.19552587914865,0.8027835793861278,18.21859068870433,12.221988667110919,8,461,301,0.15901624599415715,9.163311175413307,5.982986255530163,11525.316411049598,20.907408546234322,66.92935960271656,71.9725,2732.745,187.04000000000002,15.908917759395255
4250,LU3_19,8.764166666666666,8.295682989690722,2.428973941368078,98.8612325086644,99.55906459571293,99.85674143277826,6.9470833333333335,5.322474226804124,0.6631351791530945,2.5823424302281097,176.03862684183395,173.68696075552666,0.8259885956080808,16.139684211128724,12.260139523970311,12,582,307,0.21130657458395713,10.248368867321922,5.405926533106237,11370.03980100087,25.22204047857664,66.52448371903222,83.365,3097.68,203.5825,18.258879697050457
4500,LU3_19,7.010937500000001,7.910043668122271,2.4921884498480242,98.74632627704847,99.530291767936,99.86478550792529,5.41171875,5.1033333333333335,0.6773784194528876,2.7967557319355576,175.22016303020354,172.80981668330372,0.7487467219996529,14.397126747775987,12.073486897030538,16,687,329,0.2513231772590223,10.79118892355927,5.167832832388646,13708.962834598226,29.832832203535556,68.59791386240497,86.5875,3505.99,222.8575,20.759479799022575
4750,LU3_19,6.893289473684211,7.599202261306533,2.700569526627219,98.69441621910099,99.50368266748274,99.87173083243901,5.290131578947369,4.9202920854271355,0.7545118343195266,2.7993452450607874,174.331322354016,171.89009027553564,0.6720613924398645,12.922598209716146,12.083111862428147,19,796,338,0.26787992775701314,11.222759078662236,4.765442925361603,16047.928746454912,34.67611102769328,68.48875568563595,100.5125,3916.5525,255.025,22.9876879330228
5000,LU3_19,8.714444444444444,7.29020697167756,2.7573019125683063,98.78739733134464,99.48192661792754,99.88048567490071,6.883888888888889,4.739120370370371,0.7926571038251365,2.758816393961017,173.0521028817097,170.62795840269874,0.6065769393871623,11.66344348768856,12.142164302913715,18,918,366,0.22905302163882982,11.681704103580321,4.6574114399895405,15803.88316269726,38.555846345428044,67.82538837170473,123.91,4350.5125,290.11249999999995,24.54383985349527
250,LU3_20,NA,14.2775,0.8278571428571428,NA,99.79041793537063,96.73965337068073,NA,9.105,0.4371428571428571,NA,113.09004857391953,113.09004857391953,NA,71.12965500062273,19.803213351600448,NA,1,7,NA,4.981940465811433,34.87358326068003,NA,1.9765080864414217,24.017176990247062,NA,9.105,3.06,1.8262183447505904
500,LU3_20,NA,3.829264705882353,1.0242857142857142,NA,99.4395917188668,98.36430204428828,NA,2.494705882352941,0.3167857142857143,NA,160.44059795436664,160.44059795436664,NA,62.461054287962234,13.249409913453974,NA,17,14,NA,21.400472069236823,17.62391817466562,NA,2.503279941804833,56.05105192045723,NA,42.41,4.435,2.396261207788997
750,LU3_20,0.795,5.731346153846154,1.483421052631579,94.74736420587965,99.60085614265773,99.00791843742152,0.155,3.7424999999999997,0.3501315789473684,1.7135312789685102,167.785611955392,166.0720806764235,0.44664175959998875,56.61114076238096,12.046686704682715,1,26,19,0.5618135340880361,14.607151886288941,10.674457147672687,50128.112060440646,2.9040094908625997,68.13583959091254,0.155,97.30499999999999,6.6525,2.7851428993892684
1000,LU3_20,5.1325,7.47889705882353,2.0519,98.08197480963123,99.60966539105429,99.09697467605852,3.645,4.765,0.5549999999999999,5.619845177223004,170.05176589782963,164.43192072060663,2.315217907517928,48.62590827779449,10.908040336240877,2,34,25,0.6332219917997751,10.764773860596177,7.915274897497189,1604.0875443425011,3.864225974634591,81.6179581278393,7.29,162.01,13.875,3.681076663310923
1250,LU3_20,7.2524999999999995,6.808103448275863,1.8173913043478263,98.36470585769537,99.5434931272571,99.27058417345881,5.46125,4.2564224137931035,0.5440217391304347,4.969826056088037,176.34768497388305,171.377858917795,1.4833409402099496,41.69430498503981,11.385972919519245,2,58,46,0.4057000862112683,11.765302500126781,9.33110198285917,2310.0139228554044,5.200085059625008,74.01315234971639,10.9225,246.8725,25.025,4.848518779652354
1500,LU3_20,7.2524999999999995,6.726889534883721,1.7343283582089553,98.32780466035163,99.57007080774045,99.48481349713913,5.46125,4.142005813953488,0.4904477611940299,3.4545114862506914,184.2382625922231,180.7837511059724,1.0310659282942114,40.48934212706257,12.90859292107146,2,86,67,0.2820009376531177,12.12604031908406,9.447031411379442,4781.054482766161,5.519820580154937,59.472571414416635,10.9225,356.2125,32.86,5.045690198170172
1750,LU3_20,7.2524999999999995,7.428317757009347,1.6529255319148937,98.30143960877497,99.57306240251188,99.58633960623628,5.46125,4.567523364485981,0.48013297872340427,2.5396233064858866,186.79706854909765,184.25744524261177,0.7579998134154305,36.827129396398924,13.167946844129325,2,107,94,0.20731618828456216,11.091416073224078,9.743860849374423,8846.232853875248,6.602018268744577,57.358713582144745,10.9225,488.725,45.1325,5.9165989882873085
2000,LU3_20,3.689,7.303776223776224,1.7881818181818183,97.85494803574667,99.57840060925425,99.61878210907994,2.5665,4.529510489510489,0.5057045454545455,2.754875613793432,186.1327341941989,183.42549331724337,0.5805483552122326,32.77666850589679,12.443384130487424,5,143,110,0.39695614031605647,11.352945613039216,8.733035086953242,13912.164525546998,8.013041916560674,63.981577527311444,12.8325,647.72,55.627500000000005,7.117542574046446
2250,LU3_20,6.979375,6.08703488372093,2.1073360655737705,98.32620321602901,99.52201918689738,99.70082095617072,5.109375,3.7276627906976745,0.610327868852459,3.1592652433763666,191.3033929943999,188.332365997898,0.6956971874068613,27.929065553969473,13.60413496682301,4,215,122,0.2509843291659477,13.490407692669686,7.655022039561405,10875.767818339875,10.612934014126115,53.61655643651102,20.4375,801.4475,74.46000000000001,8.85209928549059
2500,LU3_20,9.511875,5.8715419708029195,2.3196195652173914,98.6691586849283,99.52322057950894,99.74302510499845,7.374375,3.591824817518248,0.7435869565217391,2.9156705216050676,190.51250471858188,187.75952200289026,1.0786964131151793,25.667941478145817,14.046948141990867,4,274,138,0.20335975739180942,13.930143381338947,7.015911630017426,6899.023819098108,12.264336458439995,50.374836209780796,29.4975,984.16,102.615,9.848979940299477
2750,LU3_20,10.386000000000001,5.571824712643679,2.573112582781457,98.79480283618422,99.50820867161472,99.80940168168597,8.101,3.4148275862068966,0.8640231788079471,3.019586335583839,189.5068849510289,186.62178262760744,1.2874742851859557,23.24629696171198,15.13071215588378,5,348,151,0.21013126900374662,14.625136322660765,6.345964323913147,5296.155288955614,14.325256594825278,43.67221562643619,40.505,1188.3600000000001,130.4675,10.765021954240732
