Site,BUFF_DIST,Feature_Area,Buffer_Area,CONVENTIONAL-SEISMIC,TRAIL,LOW-IMPACT-SEISMIC,PIPELINE,HARVEST-AREA,TAME_PASTURE,ROUGH_PASTURE,CULTIVATION_ABANDONED,CROP,WELL-ABAND,RURAL-RESIDENCE,URBAN-RESIDENCE,COUNTRY-RESIDENCE,RESIDENCE_CLEARING,TRANSMISSION-LINE,RECREATION,RUNWAY,GREENSPACE,TRANSFER_STATION,WELL-GAS,WELL-OIL,WELL-OTHER,WELL-CASED,WELL-BIT,WELL-CLEARED-NOT-DRILLED,CLEARING-UNKNOWN,CLEARING-WELLPAD-UNCONFIRMED,MISC-OIL-GAS-FACILITY,FACILITY-UNKNOWN,OIL-GAS-PLANT,FACILITY-OTHER,CAMP-INDUSTRIAL,URBAN-INDUSTRIAL,GRVL-SAND-PIT,OPEN-PIT-MINE,VEGETATED-EDGE-ROADS,CANAL,ROAD-PAVED-1L,ROAD-UNIMPROVED,ROAD-WINTER-ACCESS,TRUCK-TRAIL,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-GRAVEL-1L,ROAD-UNCLASSIFIED,ROAD-GRAVEL-2L,SUMP,BORROWPIT-WET,DUGOUT,BORROWPITS,BORROWPIT-DRY,LAGOON,RESERVOIR,MINES-PITLAKE
CAM74,250,0,196259.8359,0,0,0,0.001131874,0.768158386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060479947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057506189,0,0,0,0,0.003407882,0,0,0.027964864,0,0,0,0,0,0,0,0,0,0
CAM1,250,0,196259.8359,0.015596008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018783426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM2,250,0,196259.8359,0.049349876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011673818,0,0,0,0,0,0,0,0.016289185,0,0,0,0,0,0,0,0,0,0
CAM3,250,0,196259.8359,0.033414406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011867616,0,0,0,0,0,0,0,0.023789953,0,0,0,0,0,0,0,0,0,0
CAM4,250,0,196259.8359,0.013598549,0,0,0,0,0,0,0,0,0.053342402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011739719,0,0,0.017527398,0,0,0,0,0.004925227,0,0,0,0,0,0,0,0,0,0
CAM5,250,0,196259.8359,0.020733659,0,0,0.031450802,0,0,0,0,0,0.106567223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054321134,0,0,0,0,0.008484091,0,0,0.035514778,0,0,0,0,0,0,0.00251852,0,0,0
CAM6,250,0,196259.8359,0.022159487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002816357,0,0,0,0,0,0,0,0,0,0.014739483,0,0,0,0,0.01474223,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM7,250,0,196259.8359,0.013891873,0,0.00611788,0,0.340920256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013783139,0,0,0,0,0.013794293,0,0,0,0,0,0,0,0,0,0.03090711,0,0,0
CAM8,250,0,196259.8359,0.04601163,0,0,0,0.049934512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM9,250,0,196259.8359,0.028561302,0,0,0,0.304958193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013133063,0,0,0
CAM10,250,0,196259.8359,0.041853147,0,0.00048354,0,0.013710792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM11,250,0,196259.8359,0.028759209,0,0,0.005027914,0.368629359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040374802,0,0,0,0,0.008335662,0,0,0.017859761,0,0,0,0,0,0,0.029501463,0,0,0
CAM12,250,0,196259.8359,0.044149398,0.007522748,0,0,0.065981936,0,0,0,0,0.05485517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023045013,0,0,0.023058532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM13,250,0,196259.8359,0.031672762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM14,250,0,196259.8359,0.002421321,0,0,0,0.814223411,0,0,0,0,0.004612241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011787175,0,0,0,0.011906745,0.011699267,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM15,250,0,196259.8359,0.023627965,0,0,0.011341398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067119143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02294814,0,0,0,0,0,0,0,0.012783402,0,0,0,0,0,0,0,0,0,0
CAM16,250,0,196259.8359,0,0,0.002527454,9.6915395593023e-05,0.156854653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060227659,0,0,0,0,0.018213201,0,0,0.015708877,0,0,0,0,0,0,0,0,0,0
CAM17,250,0,196259.8359,0.02887773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047541149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032290902,0,0,0,0,0,0,0,0.012522247,0,0,0,0,0,0,0,0,0,0
CAM18,250,0,196259.8359,0.030184427,0.00174048,0.006051675,0.117999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066394376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008308382,0,0,0,0,0,0,0,0.006808371,0,0,0,0,0,0,0,0,0,0
CAM19,250,0,196259.8359,0.009184307,0,0.004324696,0.027471554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051165872,0,0,0,0,0,0,0,0.025020174,0,0,0,0,0,0,0,0,0,0
CAM20,250,0,196259.8359,0.010047146,0.008233176,0,0.038981998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066721232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105900554,0,0,0,0,0,0,0.037416113,0.014838222,0,0,0,0,0,0,0,0,0,0
CAM21,250,0,196259.8359,0.002687172,0,0,0.013113916,0,0,0,0,0,0,0,0,0,0,0.078812199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAM22,250,0,196259.8359,0.022165223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024636216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015243407,0,0,0,0,0.015246835,0,0,0,0,0,0,0,0,0,0,0,0,0
