buffer,site,landscape_cohesion,landscape_contag,landscape_mesh,landscape_np,landscape_shei,landscape_siei
50,LU3_14,92.8038641756768,27.709923892022704,0.1927300000354867,8,0.9926643434472284,0.9918084436042849
100,LU3_14,95.52397487004046,36.40876475381448,0.6929701373390128,13,0.9241395510996916,0.9154065721091939
250,LU3_14,96.43720689667174,36.277119557316475,1.2070418054091174,33,0.9363292803578503,0.936559429521028
500,LU3_14,97.62771355757886,39.52775186428216,3.010521124826392,82,0.9144534953049039,0.9083430457888438
750,LU3_14,98.5825761445409,43.76141624079368,6.573022366189414,135,0.8544367783309028,0.8349482196750504
1000,LU3_14,98.80395744803931,60.40050511661834,9.225482347652862,205,0.6154928390649156,0.6980525051416531
1250,LU3_14,98.96341916687386,62.995790593035636,11.885796510646298,282,0.5933868139976277,0.704414264204511
1500,LU3_14,99.1270354374546,64.20565756233701,15.72800531699504,364,0.5796903528694162,0.6948223949565825
1750,LU3_14,99.19607683457039,65.93353318363266,18.51247182520763,482,0.548726576498083,0.6522400596059817
2000,LU3_14,99.26117694113611,66.42189752834369,23.516579731959357,629,0.5387242324998208,0.6355062649865657
2250,LU3_14,99.3325237796972,67.72192560110646,29.896192390079747,787,0.5150295905806817,0.609385844795786
2500,LU3_14,99.4026880057599,68.36224014550272,42.54609231186827,949,0.5027486999663421,0.5969917806810129
2750,LU3_14,99.44889296987418,67.73437016799487,49.85171627269553,1156,0.5137500908567773,0.6157077877262473
3000,LU3_14,99.48839517595853,66.68596814261085,61.68064008217385,1369,0.534723332536272,0.6416760040583445
3250,LU3_14,99.51646710881418,65.74132846344895,72.009721902601,1629,0.5539365981656212,0.6672857300264547
3500,LU3_14,99.55263985994108,65.17843516253114,84.00851709742759,1854,0.566610661235179,0.6873085397606182
3750,LU3_14,99.57490695509033,64.89918754760434,93.80204376221853,2082,0.5734552686305897,0.6957880209837664
4000,LU3_14,99.59483129748826,65.00609653049871,98.5190843788807,2318,0.572247264574844,0.6943510592293849
4250,LU3_14,99.60488332365551,65.53749620579569,101.88644628378201,2544,0.56321320611015,0.6845753525804475
4500,LU3_14,99.61838778073239,66.01765999257684,105.43891628861054,2735,0.5559187032635315,0.6732457681956979
4750,LU3_14,99.63254071247916,66.38258984912322,111.84145603357183,3013,0.5498801285473407,0.6655326470627517
5000,LU3_14,99.64314364106409,68.42653431281943,118.15583188230205,3310,0.5167880077141332,0.6508817590754863
50,LU3_19,98.62715535631085,88.18669509260506,0.8089498180989997,2,0.19013392890283004,0.11321813190082342
