Site,BUFF_DIST,LC_class20,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
CAM87,250,0,0,0.020729528,0,0.636108046,0,0.34316247,0,0
CAM88,250,0,0,0,0.16877334,0,0,0.83122666,0,0
CAM89,250,0,0,0.083714522,0,0.155645877,0,0.599682706,0.160956865,0
CAM90,250,0,0,0.192477912,0.807522112,0,0,0,0,0
CAM91,250,0,0,0,0,0,0,0.184606248,0.815393752,0
CAM92,250,0,0,0.11474842,0.743712392,0.141539221,0,0,0,0
CAM93,250,0,0,0.032427603,0.771379406,0,0,0,0.196192988,0
CAM94,250,0,0,0,0.506459195,0,0,0.086422056,0.407118749,0
CAM95,250,0,0,0.152757274,0.666952428,0,0,0.009385793,0.170904569,0
CAM96,250,0,0,0.013404623,0,0,0,0.201569453,0.785025906,0
CAM97,250,0.04876745,0,0.122141455,0.079456556,0.236923392,0,0.006147071,0.506564116,0
CAM98,250,0.34957246,0,0,0,0,0,0.017937832,0.632489708,0
CAM99,250,0.463264427,0,0.000164996,0,0,0,0.00357587,0.532994699,0
CAM100,250,0.085020851,0,0,0.087928058,0.270862239,0,0.320133364,0.236055489,0
CAM26 B,250,0.014507596,0,0,0.091023807,0.201008648,0,0,0.693459948,0
CAM85,250,0,0,0.184828449,0,0.615243721,0,0,0.199927773,0
CAM56,500,0,0,0.131495407,0.21311891,0,0,0.623042748,0.032342958,0
CAM57,500,0,0,0,0.10877465,0,0,0.350116345,0.541109017,0
CAM58,500,0,0,0,0.418993547,0,0,0.360625094,0.220381366,0
CAM59,500,0,0,0,0.405413214,0,0,0,0.594586786,0
CAM60,500,0.141769819,0,0,0.183377145,0,0,0.019442673,0.655410364,0
CAM61,500,0,0,0,0.268308966,0,0,0.393617826,0.277891933,0.060181297
CAM62,500,0,0,0,0.264755166,0,0,0.518617313,0.008457991,0.208169535
CAM63,500,0,0,0,0.14157248,0,0,0.351019756,0.507407777,0
CAM64,500,0,0,0.082138416,0.155743745,0,0,0.762117841,0,0
CAM65,500,0,0,0.047073067,0.315169124,0,0,0.37773521,0.036283489,0.223739115
CAM66,500,0,0,0,0.056159974,0,0,0.143970763,0.742052256,0.057817007
CAM67,500,0.258762393,0,0,0.248051449,0.197450272,0,0.055789661,0.061800015,0.17814621
CAM68,500,0,0,0,0.41889291,0,0,0.045217574,0.50156562,0.034323896
CAM69,500,0,0,0,0.457018021,0.201853188,0,0.341128791,0,0
CAM70,500,0.17599093,0,0,0.043463302,0.253613918,0,0.266067237,0,0.260864614
CAM71,500,0,0,0,0.051469229,0,0,0.058830335,0.889700437,0
CAM72,500,0.118464804,0,0,0.076997458,0,0,0.224087567,0.442745008,0.137705163
CAM73,500,0,0,0.120581162,0.527647167,0,0,0.274933881,0,0.076837786
CAM74,500,0,0,0.126709829,0.424289253,0.090261644,0,0.279897371,0.07884191,0
CAM1,500,0.349496798,0,0,0.070367381,0.061251382,0,0.108381753,0.410502686,0
CAM2,500,0.026253311,0,0.109864348,0.023436474,0.129274623,0,0.315353985,0.395817279,0
CAM3,500,0.120610228,0,0.171321057,0,1.05E-06,0,0.128072815,0.549754255,0.030240602
CAM4,500,0.051128174,0,0.098123069,0,0,0,0.039950998,0.626887871,0.183909888
CAM5,500,0,0,0.142638356,0,0.022447208,0,0.315565129,0.519349304,0
CAM6,500,0.221903154,0,0.112602576,0.039047778,0.017827944,0,0.608618542,0,0
CAM7,500,0.006360423,0,0.121633823,0.031773987,0,0,0.153171043,0.506537463,0.180523265
CAM8,500,0,0,0.067883634,0.013403263,0,0,0.078149378,0.840563742,0
CAM9,500,0,0,0.032713157,0,0,0,0.568388596,0.398106973,0.000791297
CAM10,500,0.240538106,0,0,0,0,0,0.523006372,0.178779686,0.057675836
CAM11,500,0,0,0.093742884,0,0.041330332,0,0.388124392,0.476790227,1.22E-05
CAM12,500,0,0,0.094647986,0,0,0,0.28816195,0.613481747,0.003708316
CAM13,500,0.055136283,0,0.079967494,0,0.015668819,0,0.626660483,0.121315373,0.101251505
CAM14,500,0,0,0.144170492,0.003397608,0,0,0.484643958,0.367787943,0
CAM15,500,0,0,0.051610266,0.009213396,0.104852613,0,0.834323721,0,0
CAM16,500,0.066611137,0,0.204709879,0.071173391,0.126743438,0,0.137975983,0.392786159,0
CAM17,500,0,0,0.124553067,0.730736369,0.036907447,0,0.107803105,0,0
CAM18,500,0,0,0.054760966,0,0.359459793,0,0.4539092,0.131410579,0.000459472
CAM19,500,0,0,0.171659624,0.028026455,0.464800309,0,0.335513611,0,0
CAM20,500,0,0,0.189213906,0.184142052,0,0,2.54E-05,0.00102722,0.625591422
CAM21,500,0,0,0,0.12422212,0,0,0.238522142,0.557252658,0.080003081
CAM22,500,0,0,0.103809985,0.072137188,0,0,0,0.824052832,0
CAM23,500,0,0,0,0.12812305,0,0,0,0.87187695,0
CAM24,500,0,0,0,0.232964435,0.271926694,0,0.403097533,0.092011338,0
CAM25,500,0,0,0,0.314119237,0.004925723,0,0,0.680955041,0
CAM26,500,0,0,0.104921167,0.045434609,0,0,0.119882097,0.729344426,0.000417701
CAM27,500,0,0,0.090835159,0,0,0,0.270489175,0.638675661,0
CAM28,500,0.875123758,0,0,0,0,0,0.10479169,0.020084552,0
CAM29,500,0.565625198,0,0,0.028920779,0.222575579,0,0.103475132,0.030354502,0.04904881
CAM30,500,0,0,0.072692814,0.166033061,0,0,0.375298609,0.229368166,0.156607356
CAM31,500,0.243847965,0,0,0.063764227,0.033407923,0,0.125914387,0.533065498,0
CAM32,500,0.14112928,0,0.040521039,0.117196451,0.036187971,0,0.12994183,0.516351909,0.018671506
CAM33,500,0,0,0,0,0.102536579,0,0.224730879,0.672732543,0
CAM35,500,0.025079481,0,0.082740574,0,0,0,0.029919287,0.862260646,0
CAM34,500,0.082830883,0,0.039574245,0.042954533,0.058974655,0,0.260877099,0.483757225,0.031031353
CAM36,500,0.096324487,0,0.173159693,0.113333967,0,0,0.458815404,0.154669671,0.00369677
CAM37,500,0,0,0.067806623,0,0,0,0.273124325,0.659069041,0
CAM38,500,0.080090254,0,0.087257233,0,3.96E-05,0,0.02872655,0.803886337,0
CAM39,500,0,0,0.095379209,0.03148464,0,0,0.616458461,0.172188271,0.084489429
CAM40,500,0,0,0,0.003753816,0,0,0,0.996246184,0
CAM41,500,0.057501421,0,0.136108522,0,0.13183519,0,0.308119705,0.302710627,0.063724541
CAM42,500,0,0,0,0,0,0,0.997761823,0.002238177,0
CAM43,500,0,0,0,0.024413805,0,0,0.191075994,0.784510201,0
CAM44,500,0,0,0,0.162405225,0.211386062,0,0.161678358,0.464530355,0
CAM45,500,0,0,0.081885934,0,0,0,0.161724769,0.756389296,0
CAM46,500,0,0,0.043414283,0.047161056,0,0,0.212391658,0.23010553,0.466927458
CAM47,500,0,0,0,0,0,0,0.998255455,0.001744545,0
CAM48,500,0,0,0,0.015790014,0,0,0.1610962,0.823113786,0
CAM49,500,0.193267687,0,0,0.202244454,0,0,0.387734939,0.025816148,0.1909368
CAM50,500,0.013396181,0,0,0.040486311,0,0,0.313289541,0.632827967,0
CAM51,500,0,0,0.121573547,0.012072497,0,0,0.450626539,0.415727418,0
CAM52,500,0,0,0,0,0,0,0.097400004,0.814789802,0.087810195
CAM53,500,0,0,0,0.019757022,0,0,0.58058188,0.399661098,0
CAM54,500,0,0,0,0,0,0,0.185474208,0.814525792,0
CAM55,500,0,0,0,0,0,0,0.146820596,0.853179404,0
CAM75,500,0,0,0.019646249,0.382583609,0.036492408,0,0.244799507,0.316478253,0
CAM76,500,0,0,0,0.202949714,0,0,0.040389656,0.714318713,0.042341918
CAM77,500,0,0,0.058381985,0.580201396,0.13519329,0,0.226223331,0,0
CAM78,500,0,0,0.083490612,0,0,0,0.812902529,0.103606845,0
CAM79,500,0,0,0.044662449,0.014243444,0.030381323,0,0.317728841,0.389633414,0.203350531
CAM80,500,0,0,0,0,0.441154507,0,0.464524922,0.094320572,0
CAM81,500,0,0,0,0,0.032275937,0,0.745790829,0.221933233,0
CAM82,500,0,0,0,0.018159576,0.213746783,0,0.768093641,0,0
CAM83,500,0,0,0,0.151342266,0,0,0.415130553,0.433527181,0
CAM86,500,0.01895407,0,0,0.034841168,0.140761223,0,0.763202998,0.042240542,0
CAM87,500,0,0,0.040621814,0,0.245709451,0,0.696267595,0.017401152,0
CAM88,500,0,0,0,0.251056405,0,0,0.722091968,0,0.026851627
CAM89,500,0,0,0.050027472,0,0.073751358,0,0.602026239,0.274194924,0
CAM90,500,0,0,0.112714739,0.875220863,0.012064408,0,0,0,0
CAM91,500,0,0,0.070226027,0.053499261,0,0,0.119790624,0.756484075,0
CAM92,500,0,0,0.050890794,0.818938204,0.068687378,0,0.040876853,0.020606777,0
CAM93,500,0,0,0.021811097,0.72139637,0,0,0.133808792,0.122983741,0
CAM94,500,0,0,0.000514715,0.698865087,0,0,0.084815014,0.215799992,5.19E-06
CAM95,500,0,0,0.13074408,0.624890603,0,0,0.042739709,0.201625614,0
CAM96,500,0.001644136,0,0.072676772,0,0,0,0.439800301,0.485878789,0
CAM97,500,0.102885165,0,0.078124656,0.172956865,0.159342643,0,0.229271307,0.257419368,0
CAM98,500,0.325450398,0,0,0,0,0,0.047714041,0.607058736,0.019776825
CAM99,500,0.171623935,0,0.12216339,0.082951598,0,0,0.073057913,0.459365259,0.090837898
CAM100,500,0.021255213,0,0,0.105778507,0.249386667,0,0.423029898,0.200549716,0
CAM26 B,500,0.158315412,0,0.071962851,0.053762336,0.121642241,0,0,0.594317163,0
CAM85,500,0,0,0.110669129,0,0.325852049,0,0,0.563478801,0
CAM56,750,0,0,0.08433919,0.097188882,0.011012863,0,0.774040816,0.033418267,0
CAM57,750,0,0,0,0.115619862,0,0,0.42992237,0.454457771,0
CAM58,750,0,0,0,0.326809513,0,0,0.447751047,0.212421695,0.013017736
CAM59,750,0.024119956,0,0,0.337484354,0,0,0.062722908,0.575672784,0
CAM60,750,0.063008808,0,0,0.300870158,0,0,0.044282778,0.591838265,0
CAM61,750,0.026033814,0,0,0.163429359,0,0,0.457403143,0.314726858,0.038406835
CAM62,750,0,0,0,0.185869899,0,0,0.607564555,0.071594256,0.134971306
CAM63,750,0.059759538,0,0,0.21633052,0,0,0.310607672,0.413302275,0
CAM64,750,0,0,0.059212557,0.150782532,0,0,0.760042959,0.029275018,0.000686934
CAM65,750,0,0,0.0298631,0.245619335,0.023550335,0,0.554098343,0.017829011,0.129039884
CAM66,750,0.059346738,0,0,0.120548093,0,0,0.15472544,0.611481404,0.053898324
CAM67,750,0.271282655,4.35E-05,0,0.176336804,0.101424037,0,0.053245637,0.138470226,0.259197145
CAM68,750,0.003027201,0,0,0.346967006,0,0,0.207369083,0.348007271,0.094629438
CAM69,750,0,0,0,0.339902861,0.182391904,0,0.472273134,0,0.005432101
CAM70,750,0.294486215,0,0,0.082122876,0.162544553,0,0.247266984,0.004068132,0.20951124
CAM71,750,0,0,0,0.06241305,0.000406099,0,0.064286004,0.861185265,0.011709583
CAM72,750,0.217181362,0,0,0.068266274,0,0,0.140945729,0.38553387,0.188072766
CAM73,750,0,0,0.068649793,0.351645344,0.002351467,0,0.483901365,0,0.093452031
CAM74,750,0,0,0.116489185,0.333428838,0.080263393,0,0.335161125,0.13465747,0
CAM1,750,0.363744031,0,0.004115234,0.039047108,0.086998564,0,0.133796444,0.372298617,0
CAM2,750,0.074614856,0,0.085119672,0.033118807,0.071511365,0,0.238599492,0.494167335,0.002868481
CAM3,750,0.073761729,0,0.112528323,0,0.021209885,0,0.175193195,0.553807887,0.063498982
CAM4,750,0.080138911,0,0.077744435,0,0,0,0.147563098,0.550476733,0.144076826
CAM5,750,0.010946669,0,0.125011889,0,0.039165488,0,0.331382227,0.493493724,0
CAM6,750,0.228082976,0,0.074143126,0.017354568,0.10193387,0,0.578485453,0,0
CAM7,750,0.023338255,0,0.078374444,0.014121772,0,0,0.222033552,0.525082944,0.137049036
CAM8,750,0.014858629,0,0.06137607,0.069810257,0.001980509,0,0.145589024,0.706385512,0
CAM9,750,0.144776364,0,0.086699426,0,0.014610997,0,0.472541956,0.241420721,0.039950546
CAM10,750,0.190694214,0,0,0,0.018440846,0,0.526991773,0.203901007,0.05997216
CAM11,750,0,0,0.065827971,0,0.033466938,0,0.393201484,0.450260012,0.057243589
CAM12,750,0,0,0.066059699,0.000430868,0.006993943,0,0.254886647,0.606706755,0.064922086
CAM13,750,0.071649664,0,0.095863175,0,0.029550971,0,0.597727708,0.103347753,0.101860731
CAM14,750,0,0,0.109939282,0.024173138,0.049994928,0,0.459447882,0.356444768,0
CAM15,750,0.010216628,0,0.066760483,0.049670757,0.10299129,0,0.74408148,0.026279358,0
CAM16,750,0.168627485,0,0.130327665,0.031632618,0.125391076,0,0.188461063,0.355560086,0
CAM17,750,0,0,0.126064266,0.553136816,0.16031398,0,0.146999856,0.013485082,0
CAM18,750,0,0,0.08692777,0.019127856,0.303482577,0,0.410650135,0.139265655,0.04054602
CAM19,750,0,0,0.143732779,0.015889747,0.303292001,0,0.537085473,0,0
CAM20,750,0,0,0.132223493,0.213554538,0.084977146,0,0.020205053,0.044287966,0.5047518
CAM21,750,0,0,0,0.079355855,0,0,0.247432892,0.626293578,0.046917675
CAM22,750,0.003542726,0,0.068248932,0.053543372,0.022460273,0,0.016204131,0.836000567,0
CAM23,750,0,0,0,0.085323427,0,0,0,0.887233953,0.02744262
CAM24,750,0,0,0,0.160275509,0.204679033,0,0.370506816,0.264538642,0
CAM25,750,0,0,0,0.232098827,0.021898332,0,0.040920944,0.705081897,0
CAM26,750,0.025513601,0,0.078399919,0.052790997,0.040138396,0,0.213743985,0.56877986,0.020633242
CAM27,750,0.004362394,0,0.070273118,0,0,0,0.484106345,0.441258139,0
CAM28,750,0.781992197,0,0,0,0,0,0.146836117,0.071171686,0
