array,site,start_date,end_date,camera_failure_details
LU13,LU13_18,2022-09-18,2023-09-27,
LU13,LU13_15,2022-09-18,2023-09-27,
LU13,LU13_03,2022-09-18,2023-09-27,
LU13,LU13_34,2022-09-18,2023-09-27,
LU13,LU13_57,2022-09-18,2023-09-24,
LU13,LU13_16,2022-09-18,2023-09-27,
LU13,LU13_21,2022-09-18,2023-09-27,
LU13,LU13_37,2022-09-18,2023-09-27,
LU13,LU13_55,2022-09-18,2023-09-27,
LU13,LU13_47,2022-09-18,2023-09-24,
LU13,LU13_51,2022-09-16,2023-09-24,
LU13,LU13_27,2022-09-16,2023-09-24,
LU13,LU13_05,2022-09-16,2023-09-23,
LU13,LU13_26,2022-09-16,2023-09-24,
LU13,LU13_35,2022-09-16,2023-09-26,
LU13,LU13_13,2022-09-16,2023-09-24,
LU13,LU13_128,2022-09-16,2023-09-24,
LU13,LU13_131,2022-09-16,2023-09-24,
LU13,LU13_12,2022-09-16,2023-09-24,
LU13,LU13_33,2022-09-16,2023-09-24,
LU13,LU13_32,2022-09-16,2023-09-24,
LU13,LU13_30,2022-09-16,2023-09-24,
LU13,LU13_53,2022-09-15,2023-09-24,
LU13,LU13_22,2022-09-15,2023-09-24,
LU13,LU13_19,2022-09-15,2023-09-24,
LU13,LU13_45,2022-09-15,2023-09-24,
LU13,LU13_08,2022-09-15,2023-09-24,
LU13,LU13_43,2022-09-15,2023-09-24,
LU13,LU13_41,2022-09-15,2023-09-24,
LU13,LU13_59,2022-09-15,2023-09-24,
LU13,LU13_06,2022-09-15,2023-09-24,
LU13,LU13_14,2022-09-15,2023-09-24,
LU13,LU13_52,2022-09-15,2023-09-27,
LU13,LU13_36,2022-09-15,2023-09-27,
LU13,LU13_38,2022-09-15,2023-09-27,
LU13,LU13_20,2022-09-14,2023-09-24,
LU13,LU13_17,2022-09-15,2023-09-24,
LU13,LU13_56,2022-09-15,2023-09-24,
LU13,LU13_49,2022-09-15,2023-09-24,
LU13,LU13_70,2022-09-15,2023-09-24,
LU13,LU13_11,2022-09-15,2023-09-24,
LU15,LU15_44,2022-09-13,2023-09-12,
LU15,LU15_11,2022-09-13,2023-09-12,
LU15,LU15_19,2022-09-13,2023-09-11,
LU15,LU15_07,2022-09-13,2023-09-12,
LU15,LU15_34,2022-09-13,2023-09-12,
LU15,LU15_37,2022-09-13,2023-09-12,
LU15,LU15_18,2022-09-13,2023-09-12,
LU15,LU15_43,2022-09-13,2023-09-12,
LU15,LU15_10,2022-09-13,2023-09-12,
LU15,LU15_58,2022-09-13,2023-09-12,
LU15,LU15_08,2022-09-13,2023-09-12,
LU15,LU15_12,2022-09-13,2022-11-17,
LU15,LU15_17,2022-09-13,2023-09-12,
LU15,LU15_01,2022-09-13,2023-09-13,
LU15,LU15_26,2022-09-13,2023-09-13,
LU15,LU15_27,2022-09-13,2023-09-13,
LU15,LU15_28,2022-09-13,2023-09-13,
LU15,LU15_02,2022-09-13,2023-09-13,
LU15,LU15_29,2022-09-13,2023-09-13,
LU15,LU15_30,2022-09-13,2023-09-13,
LU15,LU15_31,2022-09-13,2023-09-13,
LU15,LU15_32,2022-09-13,2023-09-13,
LU15,LU15_20,2022-09-13,2023-09-12,
LU15,LU15_21,2022-09-13,2023-09-12,
LU15,LU15_23,2022-09-12,2023-09-12,
LU15,LU15_41,2022-09-12,2023-09-12,
LU15,LU15_25,2022-09-12,2023-09-12,
LU15,LU15_09,2022-09-12,2023-09-12,
LU15,LU15_24,2022-09-12,2023-09-12,
LU15,LU15_46,2022-09-12,2023-09-12,
LU15,LU15_40,2022-09-12,2023-09-12,
LU15,LU15_16,2022-09-12,2023-09-12,
LU15,LU15_04,2022-09-12,2023-09-12,
LU15,LU15_36,2022-09-12,2023-09-12,
LU15,LU15_03,2022-09-12,2023-09-12,
LU15,LU15_15,2022-09-12,2023-09-12,
LU15,LU15_14,2022-09-12,2023-09-12,
LU15,LU15_22,2022-09-11,2023-09-14,
LU15,LU15_61,2022-09-11,2023-09-14,
LU21,LU21_106,2022-09-20,2023-09-25,
LU21,LU21_10,2022-09-20,2023-09-25,
LU21,LU21_16,2022-09-20,2023-09-25,
LU21,LU21_107,2022-09-20,2023-09-25,
LU21,LU21_41,2022-09-20,2023-09-25,
LU21,LU21_63,2022-09-20,2023-06-07,
LU21,LU21_27,2022-09-20,2023-09-25,
LU21,LU21_23,2022-09-20,2023-09-25,
LU21,LU21_21,2022-09-20,2023-09-25,
LU21,LU21_82,2022-09-20,2023-09-25,
LU21,LU21_871,2022-09-20,2023-09-25,
LU21,LU21_164,2022-09-20,2023-09-25,
LU21,LU21_36,2022-09-20,2023-09-25,
LU21,LU21_14,2022-09-20,2023-09-25,
LU21,LU21_32,2022-09-20,2023-09-25,
LU21,LU21_126,2022-09-20,2023-09-25,
LU21,LU21_122,2022-09-20,2023-09-25,
LU21,LU21_56,2022-09-20,2023-09-25,
LU21,LU21_57,2022-09-20,2023-09-25,
LU21,LU21_09,2022-09-20,2023-09-25,
LU21,LU21_98,2022-09-20,2023-09-25,
LU21,LU21_119,2022-09-20,2023-10-02,
LU21,LU21_52,2022-09-20,2023-09-25,
LU21,LU21_59,2022-09-17,2023-10-02,
LU21,LU21_68,2022-09-17,2023-10-02,
LU21,LU21_109,2022-09-17,2023-09-25,
LU21,LU21_93,2022-09-17,2023-10-02,
LU21,LU21_114,2022-09-17,2023-10-02,
LU21,LU21_105,2022-09-17,2023-10-02,
LU21,LU21_100,2022-09-17,2023-09-25,
LU21,LU21_74,2022-09-17,2023-09-25,
LU21,LU21_78,2022-09-17,2023-10-02,
LU21,LU21_153,2022-09-17,2023-10-02,
LU21,LU21_06,2022-09-17,2023-10-02,
LU21,LU21_116,2022-09-17,2023-10-02,
LU21,LU21_97,2022-09-17,2023-10-02,
LU01,LU01_06,2022-06-17,2023-09-10,
LU01,LU01_10,2022-06-17,2022-12-05,
LU01,LU01_11,2022-06-17,2023-09-09,
LU01,LU01_13,2022-06-13,2023-09-10,
LU01,LU01_22,2022-06-18,2023-09-09,
LU01,LU01_25,2022-06-17,2023-09-09,
LU01,LU01_27,2022-06-14,2023-09-10,
LU01,LU01_30,2022-06-13,2023-09-10,
LU01,LU01_32,2022-06-16,2023-09-09,
LU01,LU01_36,2022-06-16,2023-09-09,
LU01,LU01_40,2022-06-17,2023-08-24,
LU01,LU01_41,2022-06-15,2023-09-10,
LU01,LU01_43,2022-06-18,2023-09-09,
LU01,LU01_44,2022-06-15,2023-09-09,
LU01,LU01_45,2022-06-17,2023-09-09,
LU01,LU01_46,2022-06-18,2023-09-09,
LU01,LU01_47,2022-06-15,2023-09-09,
LU01,LU01_48,2022-06-17,2023-09-09,
LU01,LU01_60,2022-06-18,2023-09-09,
LU01,LU01_63,2022-06-16,2022-12-05,
LU01,LU01_64,2022-06-16,2023-09-09,
LU01,LU01_66,2022-06-14,2023-09-10,
LU01,LU01_67,2022-06-16,2023-09-09,
LU01,LU01_70,2022-06-17,2023-04-11,
LU01,LU01_71,2022-06-18,2023-09-09,
LU01,LU01_72,2022-06-16,2022-09-22,
LU01,LU01_73,2022-06-14,2023-09-10,
LU01,LU01_74,2022-06-15,2023-09-10,
LU01,LU01_75,2022-06-14,2023-09-10,
LU01,LU01_76,2022-06-14,2022-12-26,
LU01,LU01_77,2022-06-16,2022-09-22,
LU01,LU01_78,2022-06-18,2023-09-09,
LU01,LU01_79,2022-06-16,2023-09-09,
LU01,LU01_80,2022-06-17,2023-09-09,
LU01,LU01_82,2022-06-15,2023-09-10,
LU01,LU01_83,2022-06-17,2023-09-09,
LU01,LU01_84,2022-06-16,2023-09-09,
LU01,LU01_85,2022-06-13,2023-05-25,
LU01,LU01_86,2022-06-16,2023-07-27,
